,3TKH_07S,4HYH_1AM,4HYI_1AO,4JIK_1KO,3OT3_22K,2HY0_306,2HXQ_373,2CGU_3A3,2CGW_3C3,2CGX_3D3,4QYE_3DL,4QYG_3DW,4QYH_3DX,5OP5_3FE,4RVM_3X7,4RVK_3XK,4RVL_3XL,2HXL_422,5OQ5_4K4,2XF0_4UB,2YM4_4YM,2QHN_582,3NLB_5BE,5DLS_5CV,5F4N_5UY,2HOG_710,2E9N_76A,2QHM_7CS,5OP2_A0Q,5OP4_A0T,5OPB_A1N,5OPR_A3E,5OPV_A3H,5OPU_A3K,5OPS_A3Q,2E9O_A58,3PA3_C70,3PA4_C72,3PA5_C73,6FC8_D4Q,6FCK_D4Z,6FCF_D58,2C3J_DBQ,2BRO_DF2,2BRH_DFW,2BRG_DFY,2BRM_DFZ,2C3L_IDZ,2R0U_M54,3OT8_MI5,2BR1_PFP,2BRB_PFQ,3TKI_S25,1NVR_STU,2YER_TQ1,1NVS_UCM,1NVQ_UCN,2X8D_X8D,2X8E_X8E,2X8I_X8I,2XEZ_XEZ,2YDJ_YDJ,2YDK_YDK,2YEX_YEX,2YM3_YM3,2YM5_YM5,2YM6_YM6,2YM7_YM7,2YM8_YM8,2WMX_ZY6,2WMR_ZYR,2WMV_ZYV,2WMW_ZYW
4QYE_3DL,0.8125,0.8390804597701149,0.84,0.8266666666666667,0.922077922077922,0.8378378378378378,0.88,0.8363636363636364,0.9365079365079365,0.8852459016393442,0.0,0.7727272727272727,0.8260869565217391,0.8235294117647058,0.8611111111111112,0.791044776119403,0.8253968253968254,0.8902439024390244,0.8255813953488372,0.8135593220338984,0.8160919540229885,0.8709677419354839,0.8625,0.8279569892473118,0.9036144578313253,0.8607594936708861,0.7352941176470589,0.8714285714285714,0.7972972972972973,0.8554216867469879,0.9113924050632911,0.8533333333333333,0.8356164383561644,0.8095238095238095,0.6964285714285714,0.7464788732394366,0.8552631578947368,0.8266666666666667,0.8648648648648649,0.8026315789473684,0.8493150684931507,0.7777777777777778,0.890625,0.8656716417910448,0.8225806451612903,0.8636363636363636,0.8548387096774194,0.875,0.6956521739130435,0.9069767441860466,0.8823529411764706,0.8548387096774194,0.7848101265822784,0.9204545454545454,0.803030303030303,0.9230769230769231,0.9222222222222223,0.8620689655172413,0.8412698412698413,0.6896551724137931,0.873015873015873,0.8266666666666667,0.8285714285714285,0.8125,0.8846153846153846,0.8421052631578947,0.9054054054054054,0.9315068493150684,0.8846153846153846,0.8472222222222222,0.8793103448275862,0.9285714285714286,0.9154929577464789
4QYG_3DW,0.7727272727272727,0.8125,0.8235294117647058,0.8255813953488372,0.8837209302325582,0.7926829268292683,0.8588235294117648,0.8507462686567164,0.9189189189189189,0.8428571428571429,0.7727272727272727,0.0,0.2909090909090909,0.8076923076923077,0.582089552238806,0.5970149253731343,0.640625,0.8571428571428572,0.7741935483870968,0.8309859154929577,0.7916666666666666,0.863013698630137,0.7764705882352941,0.78,0.8571428571428572,0.8160919540229885,0.8072289156626506,0.7733333333333333,0.6753246753246753,0.8387096774193549,0.8214285714285714,0.7926829268292683,0.8604651162790697,0.8717948717948718,0.8378378378378378,0.8,0.7951807228915663,0.7976190476190477,0.8170731707317074,0.8045977011494253,0.8024691358024691,0.7976190476190477,0.8947368421052632,0.8289473684210527,0.8533333333333333,0.8860759493670887,0.8169014084507042,0.8823529411764706,0.8023255813953488,0.8494623655913979,0.8734177215189873,0.88,0.7888888888888889,0.8865979381443299,0.85,0.8933333333333333,0.865979381443299,0.855072463768116,0.821917808219178,0.7972972972972973,0.8493150684931507,0.8390804597701149,0.8125,0.8441558441558441,0.7804878048780488,0.8117647058823529,0.7631578947368421,0.8902439024390244,0.8636363636363636,0.7848101265822784,0.8529411764705882,0.8571428571428572,0.8157894736842105
4QYH_3DX,0.8131868131868132,0.8367346938775511,0.8764044943820225,0.8651685393258427,0.8837209302325582,0.8072289156626506,0.8588235294117648,0.9,0.9189189189189189,0.8904109589041096,0.8260869565217391,0.2909090909090909,0.0,0.76,0.38983050847457623,0.4838709677419355,0.4736842105263158,0.8045977011494253,0.8247422680412371,0.863013698630137,0.7916666666666666,0.8933333333333333,0.8181818181818181,0.8155339805825242,0.8045977011494253,0.8295454545454546,0.8488372093023255,0.8354430379746836,0.7407407407407407,0.851063829787234,0.8214285714285714,0.7777777777777778,0.8192771084337349,0.8266666666666667,0.8055555555555556,0.8409090909090909,0.8372093023255813,0.8390804597701149,0.8588235294117648,0.8314606741573034,0.8588235294117648,0.8522727272727273,0.8947368421052632,0.8734177215189873,0.9113924050632911,0.9135802469135803,0.8648648648648649,0.8823529411764706,0.8555555555555556,0.8494623655913979,0.8734177215189873,0.9090909090909091,0.8279569892473118,0.8865979381443299,0.8780487804878049,0.9078947368421053,0.8775510204081632,0.855072463768116,0.821917808219178,0.8289473684210527,0.8493150684931507,0.8651685393258427,0.8690476190476191,0.8441558441558441,0.8372093023255813,0.8522727272727273,0.7792207792207793,0.7866666666666666,0.8235294117647058,0.8148148148148149,0.8695652173913043,0.8717948717948718,0.8311688311688312
5OP5_3FE,0.7840909090909091,0.846938775510204,0.8488372093023255,0.8636363636363636,0.8953488372093024,0.8470588235294118,0.8571428571428572,0.9142857142857143,0.9178082191780822,0.8571428571428572,0.8235294117647058,0.8076923076923077,0.76,0.0,0.7948717948717949,0.7922077922077921,0.7887323943661972,0.7738095238095238,0.846938775510204,0.8285714285714285,0.6309523809523809,0.8918918918918919,0.8924731182795699,0.8584905660377359,0.8295454545454546,0.8666666666666667,0.8604651162790697,0.8026315789473684,0.8651685393258427,0.8241758241758241,0.8192771084337349,0.775,0.7066666666666667,0.6615384615384615,0.6065573770491803,0.8651685393258427,0.8352941176470589,0.8372093023255813,0.8433734939759037,0.8160919540229885,0.8292682926829268,0.8235294117647058,0.8472222222222222,0.7605633802816901,0.8194444444444444,0.84,0.7794117647058824,0.8970588235294118,0.7857142857142857,0.8842105263157894,0.8571428571428572,0.8142857142857143,0.7586206896551724,0.8854166666666666,0.8625,0.8611111111111112,0.8762886597938144,0.8695652173913043,0.881578947368421,0.8266666666666667,0.8472222222222222,0.8235294117647058,0.810126582278481,0.8571428571428572,0.8352941176470589,0.5074626865671642,0.726027397260274,0.8,0.8352941176470589,0.75,0.8840579710144928,0.7391304347826086,0.8133333333333334
4RVM_3X7,0.8526315789473684,0.8613861386138614,0.8651685393258427,0.8409090909090909,0.8977272727272727,0.6301369863013699,0.759493670886076,0.8857142857142857,0.9342105263157895,0.8918918918918919,0.8611111111111112,0.582089552238806,0.38983050847457623,0.7948717948717949,0.0,0.515625,0.48275862068965514,0.7037037037037037,0.8725490196078431,0.88,0.8061224489795918,0.8947368421052632,0.8709677419354839,0.77,0.8068181818181819,0.6666666666666667,0.8764044943820225,0.8658536585365854,0.8555555555555556,0.8645833333333334,0.8505747126436781,0.6842105263157895,0.8488372093023255,0.8441558441558441,0.8243243243243243,0.8295454545454546,0.8117647058823529,0.813953488372093,0.8333333333333334,0.8202247191011236,0.8470588235294118,0.8539325842696629,0.8961038961038961,0.8607594936708861,0.8846153846153846,0.9012345679012346,0.8513513513513513,0.8840579710144928,0.8571428571428572,0.8631578947368421,0.8607594936708861,0.881578947368421,0.865979381443299,0.8877551020408163,0.8658536585365854,0.8947368421052632,0.89,0.8732394366197183,0.84,0.8607594936708861,0.8666666666666667,0.8539325842696629,0.8571428571428572,0.8607594936708861,0.8522727272727273,0.8409090909090909,0.782051282051282,0.7733333333333333,0.7976190476190477,0.8170731707317074,0.8382352941176471,0.8734177215189873,0.8333333333333334
4RVK_3XK,0.851063829787234,0.8367346938775511,0.8636363636363636,0.8651685393258427,0.9333333333333333,0.8352941176470589,0.872093023255814,0.8507462686567164,0.9333333333333333,0.8591549295774648,0.791044776119403,0.5970149253731343,0.4838709677419355,0.7922077922077921,0.515625,0.0,0.4181818181818182,0.8444444444444444,0.86,0.8472222222222222,0.7659574468085106,0.8783783783783784,0.8571428571428572,0.7676767676767677,0.7764705882352941,0.8681318681318682,0.875,0.8205128205128205,0.813953488372093,0.8631578947368421,0.875,0.8620689655172413,0.8048780487804879,0.7777777777777778,0.7536231884057971,0.8539325842696629,0.8372093023255813,0.8255813953488372,0.8313253012048193,0.7764705882352941,0.8170731707317074,0.7831325301204819,0.88,0.8289473684210527,0.8378378378378378,0.8717948717948718,0.8169014084507042,0.8656716417910448,0.8023255813953488,0.8969072164948454,0.8734177215189873,0.8648648648648649,0.8645833333333334,0.8865979381443299,0.8641975308641976,0.9078947368421053,0.8775510204081632,0.8382352941176471,0.821917808219178,0.7808219178082192,0.8648648648648649,0.7976190476190477,0.7974683544303798,0.8441558441558441,0.8505747126436781,0.8522727272727273,0.825,0.8026315789473684,0.7951807228915663,0.8433734939759037,0.8857142857142857,0.926829268292683,0.8888888888888888
4RVL_3XL,0.8777777777777778,0.8736842105263158,0.8795180722891567,0.8809523809523809,0.927710843373494,0.8354430379746836,0.8461538461538461,0.8709677419354839,0.9571428571428572,0.8955223880597015,0.8253968253968254,0.640625,0.4736842105263158,0.7887323943661972,0.48275862068965514,0.4181818181818182,0.0,0.8313253012048193,0.8494623655913979,0.8484848484848485,0.8021978021978022,0.8823529411764706,0.8850574712643678,0.8020833333333334,0.8024691358024691,0.8433734939759037,0.8641975308641976,0.8513513513513513,0.8690476190476191,0.8777777777777778,0.8780487804878049,0.8641975308641976,0.8181818181818181,0.791044776119403,0.7258064516129032,0.8690476190476191,0.8658536585365854,0.8536585365853658,0.875,0.8170731707317074,0.8311688311688312,0.825,0.8840579710144928,0.8115942028985508,0.855072463768116,0.875,0.796875,0.8305084745762712,0.8148148148148149,0.8888888888888888,0.8767123287671232,0.8507462686567164,0.8913043478260869,0.8777777777777778,0.8666666666666667,0.8823529411764706,0.8681318681318682,0.8387096774193549,0.8714285714285714,0.8285714285714285,0.8676470588235294,0.8395061728395061,0.8421052631578947,0.8611111111111112,0.8658536585365854,0.8536585365853658,0.8243243243243243,0.782608695652174,0.8076923076923077,0.7972972972972973,0.890625,0.92,0.863013698630137
2HXL_422,0.8867924528301887,0.8928571428571429,0.8888888888888888,0.8556701030927836,0.8958333333333334,0.6375,0.4714285714285714,0.9259259259259259,0.9156626506024097,0.8765432098765432,0.8902439024390244,0.8571428571428572,0.8045977011494253,0.7738095238095238,0.7037037037037037,0.8444444444444444,0.8313253012048193,0.0,0.8828828828828829,0.9058823529411765,0.7524752475247525,0.8795180722891567,0.8247422680412371,0.7889908256880733,0.8712871287128713,0.4933333333333333,0.8645833333333334,0.8666666666666667,0.9019607843137255,0.897196261682243,0.8152173913043479,0.8021978021978022,0.851063829787234,0.8333333333333334,0.8705882352941177,0.8085106382978724,0.8541666666666666,0.84375,0.8736842105263158,0.8484848484848485,0.8241758241758241,0.8556701030927836,0.8809523809523809,0.9,0.9333333333333333,0.9347826086956522,0.8941176470588236,0.7887323943661972,0.846938775510204,0.875,0.9239130434782609,0.9318181818181819,0.8981481481481481,0.9174311926605505,0.8539325842696629,0.8928571428571429,0.9189189189189189,0.8734177215189873,0.8705882352941177,0.8876404494382022,0.8941176470588236,0.89,0.8709677419354839,0.8620689655172413,0.8541666666666666,0.8191489361702128,0.8045977011494253,0.8255813953488372,0.865979381443299,0.8351648351648352,0.9,0.8470588235294118,0.8372093023255813
5OQ5_4K4,0.8363636363636364,0.7592592592592593,0.7878787878787878,0.8365384615384616,0.8627450980392157,0.8217821782178218,0.8181818181818181,0.8850574712643678,0.9010989010989011,0.8777777777777778,0.8255813953488372,0.7741935483870968,0.8247422680412371,0.846938775510204,0.8725490196078431,0.86,0.8494623655913979,0.8828828828828829,0.0,0.8555555555555556,0.8275862068965517,0.8804347826086957,0.7961165048543689,0.7863247863247863,0.8301886792452831,0.8818181818181818,0.8333333333333334,0.782608695652174,0.7551020408163265,0.6938775510204082,0.8666666666666667,0.8666666666666667,0.8431372549019608,0.8631578947368421,0.8478260869565217,0.8155339805825242,0.8571428571428572,0.8476190476190476,0.8640776699029127,0.8411214953271028,0.8181818181818181,0.8252427184466019,0.9052631578947369,0.898989898989899,0.8842105263157894,0.8979591836734694,0.8936170212765957,0.9090909090909091,0.8504672897196262,0.8454545454545455,0.8762886597938144,0.9052631578947369,0.8482142857142857,0.8363636363636364,0.8910891089108911,0.8555555555555556,0.8288288288288288,0.8620689655172413,0.8958333333333334,0.8645833333333334,0.8817204301075269,0.8252427184466019,0.8383838383838383,0.8877551020408163,0.8461538461538461,0.8365384615384616,0.8712871287128713,0.8673469387755102,0.8461538461538461,0.8514851485148515,0.8863636363636364,0.8979591836734694,0.8888888888888888
2XF0_4UB,0.872093023255814,0.9042553191489362,0.8734177215189873,0.8311688311688312,0.8961038961038961,0.7777777777777778,0.8974358974358975,0.8813559322033898,0.9384615384615385,0.8888888888888888,0.8135593220338984,0.8309859154929577,0.863013698630137,0.8285714285714285,0.88,0.8472222222222222,0.8484848484848485,0.9058823529411765,0.8555555555555556,0.0,0.8461538461538461,0.8387096774193549,0.8928571428571429,0.84375,0.9186046511627907,0.891566265060241,0.9135802469135803,0.8591549295774648,0.8481012658227848,0.9222222222222223,0.8571428571428572,0.8717948717948718,0.8552631578947368,0.8507462686567164,0.8095238095238095,0.9036144578313253,0.8875,0.875,0.8974358974358975,0.8518518518518519,0.8533333333333333,0.8311688311688312,0.9104477611940298,0.8181818181818181,0.8461538461538461,0.8507462686567164,0.8032786885245902,0.8596491228070176,0.7567567567567568,0.896551724137931,0.9014084507042254,0.8412698412698413,0.8863636363636364,0.9101123595505618,0.8591549295774648,0.8923076923076922,0.9120879120879121,0.8275862068965517,0.8636363636363636,0.8181818181818181,0.3023255813953488,0.8607594936708861,0.8333333333333334,0.8529411764705882,0.8875,0.8461538461538461,0.8933333333333333,0.904109589041096,0.858974358974359,0.8028169014084507,0.9016393442622951,0.9154929577464789,0.8873239436619719
