,4LAZ_1WW,4LB4_1WX,2IS7_2CL,3M4H_388,3MC5_393,4QX4_3E2,1Z3N_3NA,3T42_3T4,2PDG_47D,4XZH_48I,4LBS_4O8,4LBR_4O9,3DN5_53N,4IGS_64I,2IQ0_6NA,5OU0_AV5,5OUK_AVT,5OUJ_AW8,2IKG_BTO,3P2V_DOY,4XZI_F49,1X97_FIR,3BCJ_FIS,4QXI_I98,2NVC_ITA,2NVD_ITB,1US0_LDT,2IKH_LIT,4LB3_M15,3V35_NTI,2INZ_OHP,2INE_PAC,3G5E_Q74,2PDK_SBI,3U2C_SUZ,3S3G_TLT,2PDL_TOL,4LAU_W8X,5HA7_WY1,1IEI_ZES,3M0I_ZST
4LBS_4O8,0.37735849056603776,0.21999999999999997,0.75,0.23529411764705888,0.44999999999999996,0.863013698630137,0.8375,0.484375,0.7866666666666666,0.8441558441558441,0.0,0.20408163265306123,0.863013698630137,0.9230769230769231,0.8888888888888888,0.8157894736842105,0.8125,0.8,0.8717948717948718,0.8571428571428572,0.8194444444444444,0.8513513513513513,0.8513513513513513,0.36363636363636365,0.8157894736842105,0.8493150684931507,0.5081967213114754,0.863013698630137,0.36363636363636365,0.8108108108108107,0.8269230769230769,0.8269230769230769,0.8292682926829268,0.8529411764705882,0.8421052631578947,0.8484848484848485,0.7972972972972973,0.28,0.8266666666666667,0.7,0.8588235294117648
4LBR_4O9,0.28,0.28846153846153844,0.75,0.36363636363636365,0.44999999999999996,0.863013698630137,0.8375,0.484375,0.7702702702702703,0.8441558441558441,0.20408163265306123,0.0,0.863013698630137,0.9230769230769231,0.8888888888888888,0.8157894736842105,0.8125,0.8,0.8717948717948718,0.8571428571428572,0.8513513513513513,0.8666666666666667,0.8666666666666667,0.36363636363636365,0.8157894736842105,0.8493150684931507,0.6,0.863013698630137,0.23529411764705888,0.8266666666666667,0.8269230769230769,0.8269230769230769,0.8292682926829268,0.8695652173913043,0.8421052631578947,0.8484848484848485,0.7972972972972973,0.37735849056603776,0.8266666666666667,0.7702702702702703,0.8452380952380952
3DN5_53N,0.8428571428571429,0.8648648648648649,0.7755102040816326,0.8666666666666667,0.6865671641791045,0.8529411764705882,0.8266666666666667,0.8051948051948052,0.8378378378378378,0.782608695652174,0.863013698630137,0.863013698630137,0.0,0.9591836734693877,0.8297872340425532,0.8356164383561644,0.8461538461538461,0.8481012658227848,0.49090909090909096,0.828125,0.8732394366197183,0.8732394366197183,0.8732394366197183,0.8666666666666667,0.8513513513513513,0.8208955223880597,0.868421052631579,0.7619047619047619,0.8666666666666667,0.7971014492753623,0.782608695652174,0.782608695652174,0.8333333333333334,0.8769230769230769,0.863013698630137,0.8360655737704918,0.8333333333333334,0.8428571428571429,0.8142857142857143,0.8533333333333333,0.8051948051948052
4IGS_64I,0.9615384615384616,0.9038461538461539,0.935483870967742,0.9259259259259259,0.9661016949152542,0.9591836734693877,0.8909090909090909,0.9682539682539683,0.9649122807017544,0.9636363636363636,0.9230769230769231,0.9230769230769231,0.9591836734693877,0.0,0.962962962962963,0.9642857142857143,0.9322033898305084,0.9333333333333333,0.9433962264150944,0.9565217391304348,0.9607843137254902,0.9183673469387755,0.9183673469387755,0.9259259259259259,0.9454545454545454,0.9387755102040817,0.9272727272727272,0.9591836734693877,0.9259259259259259,0.962962962962963,0.8846153846153846,0.9259259259259259,0.896551724137931,0.9047619047619048,0.9019607843137255,0.926829268292683,0.9444444444444444,0.9615384615384616,0.962962962962963,0.9272727272727272,0.9516129032258065
2IQ0_6NA,0.8846153846153846,0.8909090909090909,0.8064516129032258,0.8928571428571429,0.8983050847457628,0.8775510204081632,0.8983050847457628,0.9047619047619048,0.8947368421052632,0.8909090909090909,0.8888888888888888,0.8888888888888888,0.8297872340425532,0.962962962962963,0.0,0.8727272727272728,0.8833333333333333,0.8666666666666667,0.8,0.8695652173913043,0.86,0.9038461538461539,0.9038461538461539,0.8928571428571429,0.8928571428571429,0.88,0.8947368421052632,0.8775510204081632,0.8928571428571429,0.9285714285714286,0.7777777777777778,0.7777777777777778,0.9032258064516129,0.9130434782608696,0.8679245283018868,0.8292682926829268,0.8703703703703703,0.8846153846153846,0.8679245283018868,0.8947368421052632,0.9047619047619048
5OU0_AV5,0.7945205479452055,0.8181818181818181,0.7818181818181819,0.8205128205128205,0.7974683544303798,0.671875,0.7162162162162162,0.8214285714285714,0.6901408450704225,0.7702702702702703,0.8157894736842105,0.8157894736842105,0.8356164383561644,0.9642857142857143,0.8727272727272728,0.0,0.4098360655737705,0.6,0.8157894736842105,0.7761194029850746,0.7571428571428571,0.8987341772151899,0.8987341772151899,0.8205128205128205,0.7222222222222222,0.696969696969697,0.8795180722891567,0.8513513513513513,0.8205128205128205,0.8607594936708861,0.7884615384615384,0.7884615384615384,0.7435897435897436,0.904109589041096,0.8311688311688312,0.8,0.8181818181818181,0.7945205479452055,0.7671232876712328,0.7083333333333333,0.7625
5OUK_AVT,0.8375,0.8148148148148149,0.8571428571428572,0.8170731707317074,0.8372093023255813,0.75,0.7341772151898734,0.8571428571428572,0.759493670886076,0.8,0.8125,0.8125,0.8461538461538461,0.9322033898305084,0.8833333333333333,0.4098360655737705,0.0,0.5694444444444444,0.8271604938271605,0.8243243243243243,0.7222222222222222,0.8205128205128205,0.8205128205128205,0.8170731707317074,0.7564102564102564,0.7534246575342466,0.7901234567901234,0.8607594936708861,0.8170731707317074,0.8690476190476191,0.847457627118644,0.847457627118644,0.7590361445783133,0.8194444444444444,0.75,0.7794117647058824,0.8148148148148149,0.8375,0.8125,0.7435897435897436,0.7906976744186046
5OUJ_AW8,0.825,0.8024691358024691,0.8225806451612903,0.8048780487804879,0.8390804597701149,0.7702702702702703,0.7682926829268293,0.8461538461538461,0.7468354430379747,0.8170731707317074,0.8,0.8,0.8481012658227848,0.9333333333333333,0.8666666666666667,0.6,0.5694444444444444,0.0,0.8292682926829268,0.8266666666666667,0.8076923076923077,0.8227848101265822,0.8227848101265822,0.8048780487804879,0.8048780487804879,0.7894736842105263,0.8072289156626506,0.8625,0.8048780487804879,0.8705882352941177,0.85,0.85,0.7764705882352941,0.8378378378378378,0.7692307692307692,0.782608695652174,0.8452380952380952,0.825,0.7848101265822784,0.7307692307692308,0.8202247191011236
2IKG_BTO,0.868421052631579,0.8734177215189873,0.7735849056603774,0.8461538461538461,0.7083333333333333,0.8309859154929577,0.8227848101265822,0.8024691358024691,0.8481012658227848,0.7972972972972973,0.8717948717948718,0.8717948717948718,0.49090909090909096,0.9433962264150944,0.8,0.8157894736842105,0.8271604938271605,0.8292682926829268,0.0,0.8571428571428572,0.881578947368421,0.8666666666666667,0.8666666666666667,0.8461538461538461,0.8461538461538461,0.8169014084507042,0.8333333333333334,0.7611940298507462,0.8461538461538461,0.8266666666666667,0.78,0.78,0.8292682926829268,0.8695652173913043,0.8421052631578947,0.8307692307692307,0.858974358974359,0.868421052631579,0.8108108108108107,0.8481012658227848,0.8313253012048193
3P2V_DOY,0.8529411764705882,0.8591549295774648,0.7872340425531915,0.8611111111111112,0.8513513513513513,0.7704918032786885,0.7857142857142857,0.8734177215189873,0.7971014492753623,0.8088235294117647,0.8571428571428572,0.8571428571428572,0.828125,0.9565217391304348,0.8695652173913043,0.7761194029850746,0.8243243243243243,0.8266666666666667,0.8571428571428572,0.0,0.796875,0.8507462686567164,0.8507462686567164,0.8611111111111112,0.7761194029850746,0.7540983606557377,0.8472222222222222,0.828125,0.8611111111111112,0.8571428571428572,0.7380952380952381,0.7380952380952381,0.8108108108108107,0.8709677419354839,0.8571428571428572,0.8275862068965517,0.8428571428571429,0.835820895522388,0.8235294117647058,0.8142857142857143,0.8133333333333334
