,4KAK_06U,4KEB_1QZ,4KFJ_1R0,4KBN_25U,3NU0_3TU,3NTZ_3TZ,3GYF_51P,6A7C_9QO,6A7E_9QR,3NXO_D2B,3FS6_DH1,1DRF_FOL,3GHC_GHC,3GHW_GHW,4QJC_IXE,4DDR_MMV,1HFQ_MOT,3EIG_MTX,1DLR_MXA,4G95_OAG,1BOZ_PRD,3S3V_TOP
3FS6_DH1,0.7901234567901234,0.8,0.7931034482758621,0.8051948051948052,0.8080808080808081,0.8043478260869565,0.7733333333333333,0.7183098591549295,0.7205882352941176,0.7662337662337663,0.0,0.7906976744186046,0.7888888888888889,0.797752808988764,0.7857142857142857,0.6428571428571428,0.7647058823529411,0.75,0.5161290322580645,0.7808219178082192,0.6176470588235294,0.5357142857142857
1DRF_FOL,0.9072164948453608,0.8952380952380953,0.9029126213592233,0.8888888888888888,0.6451612903225806,0.42666666666666664,0.9010989010989011,0.875,0.8823529411764706,0.8924731182795699,0.7906976744186046,0.0,0.5189873417721519,0.5064935064935066,0.8928571428571429,0.8160919540229885,0.6219512195121951,0.513157894736842,0.8636363636363636,0.8313253012048193,0.8666666666666667,0.875
3GHC_GHC,0.8556701030927836,0.8691588785046729,0.8761904761904762,0.8586956521739131,0.6354166666666667,0.42307692307692313,0.8829787234042553,0.8695652173913043,0.8764044943820225,0.875,0.7888888888888889,0.5189873417721519,0.0,0.18181818181818177,0.8863636363636364,0.8,0.5952380952380952,0.5783132530120482,0.8461538461538461,0.8791208791208791,0.8854166666666666,0.8690476190476191
3GHW_GHW,0.8877551020408163,0.8981481481481481,0.9056603773584906,0.8804347826086957,0.6276595744680851,0.4078947368421053,0.8924731182795699,0.8913043478260869,0.898876404494382,0.8842105263157894,0.797752808988764,0.5064935064935066,0.18181818181818177,0.0,0.8837209302325582,0.8222222222222222,0.6024096385542168,0.5679012345679013,0.8426966292134832,0.8764044943820225,0.8829787234042553,0.8795180722891567
4QJC_IXE,0.8243243243243243,0.8024691358024691,0.7948717948717949,0.791044776119403,0.8736842105263158,0.8876404494382022,0.8260869565217391,0.6885245901639344,0.7333333333333334,0.8333333333333334,0.7857142857142857,0.8928571428571429,0.8863636363636364,0.8837209302325582,0.0,0.7647058823529411,0.810126582278481,0.7466666666666666,0.6935483870967742,0.631578947368421,0.5178571428571428,0.7090909090909091
4DDR_MMV,0.7564102564102564,0.7558139534883721,0.7469879518072289,0.7361111111111112,0.8061224489795918,0.8021978021978022,0.7534246575342466,0.5245901639344263,0.5172413793103448,0.7466666666666666,0.6428571428571428,0.8160919540229885,0.8,0.8222222222222222,0.7647058823529411,0.0,0.7469879518072289,0.7469879518072289,0.7702702702702703,0.7945205479452055,0.7432432432432432,0.7538461538461538
1HFQ_MOT,0.8369565217391304,0.8529411764705882,0.8712871287128713,0.8390804597701149,0.7788461538461539,0.6162790697674418,0.7215189873417722,0.8372093023255813,0.8433734939759037,0.7,0.7647058823529411,0.6219512195121951,0.5952380952380952,0.6024096385542168,0.810126582278481,0.7469879518072289,0.0,0.37142857142857144,0.7976190476190477,0.8333333333333334,0.7283950617283951,0.8333333333333334
3EIG_MTX,0.8369565217391304,0.83,0.8484848484848485,0.8255813953488372,0.7788461538461539,0.6162790697674418,0.8390804597701149,0.8095238095238095,0.8292682926829268,0.8314606741573034,0.75,0.513157894736842,0.5783132530120482,0.5679012345679013,0.7466666666666666,0.7469879518072289,0.37142857142857144,0.0,0.7682926829268293,0.775,0.6962025316455696,0.8333333333333334
1DLR_MXA,0.7466666666666666,0.7619047619047619,0.7530864197530864,0.7777777777777778,0.8712871287128713,0.8602150537634409,0.7246376811594203,0.7391304347826086,0.7424242424242424,0.7183098591549295,0.5161290322580645,0.8636363636363636,0.8461538461538461,0.8426966292134832,0.6935483870967742,0.7702702702702703,0.7976190476190477,0.7682926829268293,0.0,0.7121212121212122,0.4482758620689655,0.6071428571428572
4G95_OAG,0.8333333333333334,0.8255813953488372,0.8048780487804879,0.7857142857142857,0.84375,0.8426966292134832,0.8513513513513513,0.7462686567164178,0.7692307692307692,0.8571428571428572,0.7808219178082192,0.8313253012048193,0.8791208791208791,0.8764044943820225,0.631578947368421,0.7945205479452055,0.8333333333333334,0.775,0.7121212121212122,0.0,0.6615384615384615,0.728813559322034
1BOZ_PRD,0.736842105263158,0.7228915662650602,0.7283950617283951,0.7671232876712328,0.8737864077669903,0.875,0.7671232876712328,0.6911764705882353,0.7121212121212122,0.76,0.6176470588235294,0.8666666666666667,0.8854166666666666,0.8829787234042553,0.5178571428571428,0.7432432432432432,0.7283950617283951,0.6962025316455696,0.4482758620689655,0.6615384615384615,0.0,0.6440677966101696
3S3V_TOP,0.782608695652174,0.7792207792207793,0.7361111111111112,0.7619047619047619,0.8817204301075269,0.8837209302325582,0.7419354838709677,0.7580645161290323,0.7627118644067796,0.734375,0.5357142857142857,0.875,0.8690476190476191,0.8795180722891567,0.7090909090909091,0.7538461538461538,0.8333333333333334,0.8333333333333334,0.6071428571428572,0.728813559322034,0.6440677966101696,0.0
