,4DDK_0HN,4DDM_0HO,4DE5_0JD,4EFK_0OC,4FZJ_0W1,3LE8_2B5,3COW_52H,3COY_53H,3COZ_54H,3IOB_A4D,3IOC_A5D,3IOD_A6D,3IOE_A7D,3ISJ_A8D,3IME_BZ2,3IMC_BZ3,3IUB_FG2,3IUE_FG3,3IVC_FG4,3IVG_FG5,3IVX_FG6,4EF6_I2E,4DDH_MS0
3IOC_A5D,0.8787878787878788,0.9117647058823529,0.8307692307692307,0.9571428571428572,0.904109589041096,0.8555555555555556,0.5466666666666666,0.5466666666666666,0.5405405405405406,0.3584905660377359,0.0,0.265625,0.4126984126984127,0.9518072289156626,0.84375,0.9577464788732395,0.9230769230769231,0.8913043478260869,0.8666666666666667,0.8829787234042553,0.8936170212765957,0.8714285714285714,0.8918918918918919
3IOD_A6D,0.881578947368421,0.9102564102564102,0.8846153846153846,0.95,0.9036144578313253,0.86,0.5882352941176471,0.5882352941176471,0.5833333333333333,0.46875,0.265625,0.0,0.5,0.9230769230769231,0.8666666666666667,0.9240506329113924,0.898989898989899,0.87,0.87,0.8846153846153846,0.883495145631068,0.875,0.8795180722891567
3IOE_A7D,0.927536231884058,0.9428571428571428,0.9295774647887324,0.971830985915493,0.9189189189189189,0.9157894736842105,0.5068493150684932,0.527027027027027,0.5205479452054795,0.3584905660377359,0.4126984126984127,0.5,0.0,0.9518072289156626,0.927536231884058,0.9428571428571428,0.9230769230769231,0.9148936170212766,0.9148936170212766,0.9285714285714286,0.9387755102040817,0.9324324324324325,0.9210526315789473
3ISJ_A8D,0.8490566037735849,0.8490566037735849,0.8947368421052632,0.8461538461538461,0.8833333333333333,0.7142857142857143,0.8705882352941177,0.8705882352941177,0.8690476190476191,0.9577464788732395,0.9518072289156626,0.9230769230769231,0.9518072289156626,0.0,0.8490566037735849,0.6136363636363636,0.3653846153846154,0.6716417910447761,0.7285714285714286,0.6857142857142857,0.6617647058823529,0.8813559322033898,0.7222222222222222
3IME_BZ2,0.736842105263158,0.7692307692307692,0.75,0.9069767441860466,0.8260869565217391,0.625,0.8933333333333333,0.8933333333333333,0.8918918918918919,0.9107142857142857,0.84375,0.8666666666666667,0.927536231884058,0.8490566037735849,0.0,0.8837209302325582,0.8571428571428572,0.8484848484848485,0.6666666666666667,0.7049180327868853,0.7,0.7380952380952381,0.782608695652174
3IMC_BZ3,0.9090909090909091,0.9090909090909091,0.9361702127659575,0.9069767441860466,0.8979591836734694,0.7777777777777778,0.9493670886075949,0.9493670886075949,0.9487179487179487,0.9661016949152542,0.9577464788732395,0.9240506329113924,0.9428571428571428,0.6136363636363636,0.8837209302325582,0.0,0.6909090909090909,0.7741935483870968,0.7540983606557377,0.765625,0.7619047619047619,0.9183673469387755,0.7272727272727273
3IUB_FG2,0.8923076923076922,0.875,0.9117647058823529,0.8548387096774194,0.8695652173913043,0.7051282051282051,0.8369565217391304,0.8369565217391304,0.8351648351648352,0.9240506329113924,0.9230769230769231,0.898989898989899,0.9230769230769231,0.3653846153846154,0.8571428571428572,0.6909090909090909,0.0,0.4126984126984127,0.7341772151898734,0.6794871794871795,0.64,0.9,0.7692307692307692
3IUE_FG3,0.8823529411764706,0.8656716417910448,0.9014084507042254,0.8805970149253731,0.8450704225352113,0.5416666666666667,0.8191489361702128,0.8191489361702128,0.8172043010752688,0.9012345679012346,0.8913043478260869,0.87,0.9148936170212766,0.6716417910447761,0.8484848484848485,0.7741935483870968,0.4126984126984127,0.0,0.5352112676056338,0.5342465753424658,0.36923076923076925,0.8591549295774648,0.7272727272727273
3IVC_FG4,0.8656716417910448,0.8823529411764706,0.8529411764705882,0.9130434782608696,0.8767123287671232,0.40909090909090906,0.8556701030927836,0.8556701030927836,0.8541666666666666,0.9012345679012346,0.8666666666666667,0.87,0.9148936170212766,0.7285714285714286,0.6666666666666667,0.7540983606557377,0.7341772151898734,0.5352112676056338,0.0,0.4492753623188406,0.36923076923076925,0.8260869565217391,0.6875
3IVG_FG5,0.8714285714285714,0.8873239436619719,0.8591549295774648,0.8857142857142857,0.8666666666666667,0.3125,0.8247422680412371,0.8247422680412371,0.8229166666666666,0.9176470588235294,0.8829787234042553,0.8846153846153846,0.9285714285714286,0.6857142857142857,0.7049180327868853,0.765625,0.6794871794871795,0.5342465753424658,0.4492753623188406,0.0,0.2698412698412699,0.8333333333333334,0.7014925373134329
3IVX_FG6,0.8695652173913043,0.8857142857142857,0.8571428571428572,0.9,0.8648648648648649,0.4029850746268657,0.846938775510204,0.846938775510204,0.845360824742268,0.9294117647058824,0.8936170212765957,0.883495145631068,0.9387755102040817,0.6617647058823529,0.7,0.7619047619047619,0.64,0.36923076923076925,0.36923076923076925,0.2698412698412699,0.0,0.8309859154929577,0.696969696969697
4EF6_I2E,0.48571428571428577,0.8222222222222222,0.6904761904761905,0.8936170212765957,0.8653846153846154,0.8115942028985508,0.9135802469135803,0.9135802469135803,0.8987341772151899,0.9180327868852459,0.8714285714285714,0.875,0.9324324324324325,0.8813559322033898,0.7380952380952381,0.9183673469387755,0.9,0.8591549295774648,0.8260869565217391,0.8333333333333334,0.8309859154929577,0.0,0.7551020408163265
4DDH_MS0,0.782608695652174,0.8333333333333334,0.84,0.8775510204081632,0.8301886792452831,0.6923076923076923,0.8765432098765432,0.8765432098765432,0.875,0.9047619047619048,0.8918918918918919,0.8795180722891567,0.9210526315789473,0.7222222222222222,0.782608695652174,0.7272727272727273,0.7692307692307692,0.7272727272727273,0.6875,0.7014925373134329,0.696969696969697,0.7551020408163265,0.0
