,1T3R_017,3EL5_1UN,3HAU_2NC,3EKV_478,3AID_ARQ,3GI6_D78,3I7E_DJR,3EL9_DR7,3BXR_DRR,3BXS_DRS,1Z1H_HBB,1Z1R_HBH,1KZK_JE2,3MXD_K53,3MXE_K54,3GI4_K60,3GI5_K62,2QHY_MZ1,2QHZ_MZ2,2QI0_MZ3,2QI1_MZ4,2QI3_MZ5,2QI4_MZ6,2QI5_MZ7,2QI6_MZ8,2QI7_MZ9,1B6L_PI4,1B6K_PI5,1MTR_PI6,1B6P_PI7,1D4K_PI8,1D4L_PI9,3EL4_ROC,2AID_THK
1Z1H_HBB,0.7211538461538461,0.8434782608695652,0.9067796610169492,0.72,0.8725490196078431,0.7478260869565218,0.7142857142857143,0.8672566371681416,0.5806451612903225,0.4864864864864865,0.0,0.22368421052631582,0.8793103448275862,0.7407407407407407,0.7768595041322314,0.7586206896551724,0.7543859649122807,0.8165137614678899,0.831858407079646,0.7857142857142857,0.7927927927927928,0.8073394495412844,0.8035714285714286,0.7927927927927928,0.787037037037037,0.7745098039215687,0.6145833333333333,0.7241379310344828,0.6730769230769231,0.7207207207207207,0.6964285714285714,0.17567567567567566,0.8548387096774194,0.9207920792079208
1Z1R_HBH,0.7102803738317758,0.8403361344537815,0.8739495798319328,0.7087378640776699,0.8679245283018868,0.7478991596638656,0.7155963302752293,0.8632478632478633,0.6699029126213591,0.6071428571428572,0.22368421052631582,0.0,0.875,0.7410714285714286,0.776,0.7583333333333333,0.7542372881355932,0.8141592920353982,0.829059829059829,0.7844827586206897,0.7913043478260869,0.8053097345132744,0.811965811965812,0.7913043478260869,0.7964601769911505,0.7735849056603774,0.4666666666666667,0.725,0.6880733944954128,0.7327586206896552,0.6982758620689655,0.33333333333333337,0.8240000000000001,0.9345794392523364
1KZK_JE2,0.7798165137614679,0.6565656565656566,0.8782608695652174,0.780952380952381,0.7634408602150538,0.7796610169491526,0.7837837837837838,0.7692307692307692,0.8620689655172413,0.88,0.8793103448275862,0.875,0.0,0.7407407407407407,0.7768595041322314,0.7692307692307692,0.7652173913043478,0.7830188679245282,0.8,0.7047619047619047,0.7238095238095238,0.7619047619047619,0.7476635514018692,0.7818181818181819,0.7403846153846154,0.7980769230769231,0.8728813559322034,0.8064516129032258,0.7894736842105263,0.8067226890756303,0.8032786885245902,0.9112903225806451,0.7433628318584071,0.8762886597938144
3MXD_K53,0.5520833333333333,0.7807017543859649,0.884297520661157,0.5111111111111111,0.7653061224489796,0.3870967741935484,0.5757575757575757,0.7592592592592593,0.8305084745762712,0.854368932038835,0.7407407407407407,0.7410714285714286,0.7407407407407407,0.0,0.34408602150537637,0.23529411764705888,0.2168674698795181,0.6633663366336633,0.6857142857142857,0.6603773584905661,0.6274509803921569,0.6122448979591837,0.6138613861386139,0.6407766990291262,0.5578947368421052,0.6210526315789473,0.8512396694214877,0.7377049180327868,0.7142857142857143,0.7457627118644068,0.784,0.752212389380531,0.7666666666666666,0.9150943396226415
3MXE_K54,0.5887850467289719,0.8015873015873016,0.8863636363636364,0.5544554455445545,0.7685185185185185,0.39603960396039606,0.6090909090909091,0.7304347826086957,0.8549618320610687,0.8695652173913043,0.7768595041322314,0.776,0.7768595041322314,0.34408602150537637,0.0,0.36363636363636365,0.4,0.6513761467889908,0.6486486486486487,0.6491228070175439,0.6548672566371682,0.45833333333333337,0.48,0.49504950495049505,0.4148936170212766,0.6635514018691588,0.8646616541353384,0.7794117647058824,0.7419354838709677,0.7786259541984732,0.8201438848920863,0.7857142857142857,0.75,0.9051724137931034
3GI4_K60,0.5865384615384616,0.775,0.8828125,0.5510204081632653,0.7714285714285715,0.1839080459770115,0.6074766355140186,0.7543859649122807,0.8412698412698413,0.8648648648648649,0.7586206896551724,0.7583333333333333,0.7692307692307692,0.23529411764705888,0.36363636363636365,0.0,0.18604651162790697,0.6759259259259259,0.6727272727272727,0.6607142857142857,0.6666666666666667,0.6415094339622642,0.6422018348623852,0.6666666666666667,0.5922330097087378,0.6504854368932038,0.8515625,0.7538461538461538,0.7226890756302521,0.7716535433070866,0.7969924812030076,0.768595041322314,0.7619047619047619,0.911504424778761
3GI5_K62,0.5784313725490196,0.7916666666666666,0.872,0.5416666666666667,0.7549019607843137,0.34042553191489366,0.6,0.7610619469026548,0.8387096774193549,0.8623853211009174,0.7543859649122807,0.7542372881355932,0.7652173913043478,0.2168674698795181,0.4,0.18604651162790697,0.0,0.6698113207547169,0.6909090909090909,0.6666666666666667,0.6481481481481481,0.6213592233009708,0.6095238095238096,0.6355140186915889,0.5555555555555556,0.6435643564356436,0.8582677165354331,0.7596899224806202,0.728813559322034,0.768,0.7938931297709924,0.7647058823529411,0.768,0.9196428571428571
2QHY_MZ1,0.6666666666666667,0.8214285714285714,0.8468468468468469,0.648936170212766,0.7333333333333334,0.6759259259259259,0.6732673267326732,0.6907216494845361,0.8898305084745762,0.89,0.8165137614678899,0.8141592920353982,0.7830188679245282,0.6633663366336633,0.6513761467889908,0.6759259259259259,0.6698113207547169,0.0,0.2763157894736842,0.46590909090909094,0.5056179775280899,0.5666666666666667,0.6145833333333333,0.5543478260869565,0.6170212765957447,0.6222222222222222,0.8907563025210083,0.7950819672131147,0.7657657657657657,0.7844827586206897,0.8306451612903226,0.8448275862068966,0.7631578947368421,0.8979591836734694
2QHZ_MZ2,0.6893203883495146,0.8053097345132744,0.8898305084745762,0.6734693877551021,0.7142857142857143,0.6727272727272727,0.6952380952380952,0.7128712871287128,0.9016393442622951,0.9038461538461539,0.831858407079646,0.829059829059829,0.8,0.6857142857142857,0.6486486486486487,0.6727272727272727,0.6909090909090909,0.2763157894736842,0.0,0.48351648351648346,0.5217391304347826,0.6391752577319587,0.6534653465346535,0.64,0.6428571428571428,0.6770833333333333,0.875,0.8188976377952756,0.7610619469026548,0.819672131147541,0.8527131782945736,0.8583333333333334,0.7692307692307692,0.900990099009901
2QI0_MZ3,0.6504854368932038,0.7477477477477478,0.9024390243902439,0.6464646464646464,0.7395833333333333,0.6111111111111112,0.6039603960396039,0.7238095238095238,0.8780487804878049,0.8867924528301887,0.7857142857142857,0.7844827586206897,0.7047619047619047,0.6603773584905661,0.6491228070175439,0.6607142857142857,0.6666666666666667,0.46590909090909094,0.48351648351648346,0.0,0.2716049382716049,0.6122448979591837,0.5858585858585859,0.6274509803921569,0.5729166666666667,0.5913978494623655,0.888,0.8244274809160306,0.7692307692307692,0.8064516129032258,0.8396946564885497,0.825,0.8064516129032258,0.883495145631068
