,4ISH_1GE,4ISI_1GG,4JZD_1NJ,4JZE_1NK,4JZF_1NL,4JYV_1OJ,4JYU_1OK,4NA9_1T7,2EC9_24X,2BZ6_346,2ZZU_359,1WTG_3BP,4X8S_3Z7,4X8T_3Z8,4X8V_3Z9,4X8U_3ZB,1W7X_413,4YT6_4JY,4YT7_4K1,4ZXY_4T1,5L2Z_70C,5L2Y_70D,1W0Y_771,5TQE_7KQ,5TQG_7KS,2FLR_7NH,5U6J_82J,1YGC_905,2B7D_C1B,2C4F_GIL,1WUN_P5B,1WQV_PSM,1Z6J_PY3
2ZZU_359,0.7603305785123967,0.7350427350427351,0.7350427350427351,0.8125,0.7833333333333333,0.8217054263565892,0.8253968253968254,0.7758620689655172,0.7435897435897436,0.7327586206896552,0.0,0.4555555555555556,0.90625,0.9423076923076923,0.875,0.8775510204081632,0.7387387387387387,0.6956521739130435,0.7107438016528926,0.8837209302325582,0.8648648648648649,0.8639455782312925,0.7314814814814814,0.8591549295774648,0.8581081081081081,0.7909090909090909,0.8015267175572519,0.7622950819672132,0.6982758620689655,0.7094017094017093,0.32183908045977017,0.6504854368932038,0.7941176470588236
1WTG_3BP,0.8173076923076923,0.7525773195876289,0.801980198019802,0.8532110091743119,0.81,0.8425925925925926,0.8252427184466019,0.8144329896907216,0.8,0.8,0.4555555555555556,0.0,0.9166666666666666,0.9493670886075949,0.884297520661157,0.9078947368421053,0.7303370786516854,0.7575757575757576,0.7830188679245282,0.9166666666666666,0.8809523809523809,0.88,0.735632183908046,0.884297520661157,0.8818897637795275,0.7816091954022988,0.7850467289719626,0.819047619047619,0.7346938775510203,0.7722772277227723,0.2753623188405797,0.5066666666666666,0.7876106194690266
4X8S_3Z7,0.8133333333333334,0.9259259259259259,0.8846153846153846,0.8902439024390244,0.881578947368421,0.8902439024390244,0.8987341772151899,0.92,0.925,0.8974358974358975,0.90625,0.9166666666666666,0.0,0.9111111111111111,0.8777777777777778,0.8604651162790697,0.8382352941176471,0.9012345679012346,0.9080459770114943,0.9493670886075949,0.9191919191919192,0.9292929292929293,0.8307692307692307,0.9479166666666666,0.9306930693069306,0.9090909090909091,0.9333333333333333,0.875,0.9024390243902439,0.8888888888888888,0.8961038961038961,0.9166666666666666,0.9270833333333334
4X8T_3Z8,0.8941176470588236,0.9047619047619048,0.9047619047619048,0.9090909090909091,0.9285714285714286,0.9213483146067416,0.9176470588235294,0.8831168831168831,0.9294117647058824,0.9036144578313253,0.9423076923076923,0.9493670886075949,0.9111111111111111,0.0,0.7380952380952381,0.7441860465116279,0.9230769230769231,0.9195402298850575,0.9010989010989011,0.8571428571428572,0.88,0.8787878787878788,0.92,0.8723404255319149,0.892156862745098,0.8840579710144928,0.8777777777777778,0.9325842696629214,0.9204545454545454,0.9444444444444444,0.9411764705882353,0.9493670886075949,0.92
4X8V_3Z9,0.8130081300813008,0.875,0.8292682926829268,0.8253968253968254,0.8360655737704918,0.7563025210084033,0.7586206896551724,0.859504132231405,0.8828125,0.8181818181818181,0.875,0.884297520661157,0.8777777777777778,0.7380952380952381,0.0,0.9072164948453608,0.7407407407407407,0.8682170542635659,0.8484848484848485,0.8617886178861789,0.8450704225352113,0.8439716312056738,0.8125,0.8120300751879699,0.8043478260869565,0.8879310344827587,0.7560975609756098,0.8333333333333334,0.8947368421052632,0.8692307692307693,0.8818897637795275,0.875,0.8148148148148149
4X8U_3ZB,0.8809523809523809,0.8780487804878049,0.8780487804878049,0.8837209302325582,0.8607594936708861,0.9090909090909091,0.891566265060241,0.868421052631579,0.8765432098765432,0.8902439024390244,0.8775510204081632,0.9078947368421053,0.8604651162790697,0.7441860465116279,0.9072164948453608,0.0,0.8947368421052632,0.9069767441860466,0.8888888888888888,0.9135802469135803,0.9019607843137255,0.900990099009901,0.9054054054054054,0.9292929292929293,0.9339622641509434,0.8153846153846154,0.9021739130434783,0.9204545454545454,0.8554216867469879,0.8823529411764706,0.9024390243902439,0.922077922077922,0.9090909090909091
1W7X_413,0.7722772277227723,0.803921568627451,0.7291666666666667,0.7766990291262136,0.7628865979381443,0.7010309278350515,0.6739130434782609,0.8282828282828283,0.801980198019802,0.6404494382022472,0.7387387387387387,0.7303370786516854,0.8382352941176471,0.9230769230769231,0.7407407407407407,0.8947368421052632,0.0,0.7346938775510203,0.7378640776699029,0.8867924528301887,0.890625,0.889763779527559,0.52,0.8943089430894309,0.8650793650793651,0.8369565217391304,0.8608695652173913,0.7373737373737373,0.75,0.7864077669902912,0.75,0.7444444444444445,0.7894736842105263
4YT6_4JY,0.7592592592592593,0.7663551401869159,0.7307692307692308,0.8275862068965517,0.8181818181818181,0.7289719626168225,0.7184466019417476,0.7766990291262136,0.7641509433962264,0.5604395604395604,0.6956521739130435,0.7575757575757576,0.9012345679012346,0.9195402298850575,0.8682170542635659,0.9069767441860466,0.7346938775510203,0.0,0.20512820512820518,0.8672566371681416,0.8823529411764706,0.8814814814814815,0.7525773195876289,0.8854961832061069,0.8666666666666667,0.8529411764705882,0.8629032258064516,0.65,0.7614678899082569,0.6764705882352942,0.75,0.8285714285714285,0.7768595041322314
4YT7_4K1,0.7719298245614035,0.7454545454545455,0.7102803738317758,0.8067226890756303,0.7857142857142857,0.7207207207207207,0.7222222222222222,0.7547169811320755,0.7431192660550459,0.5729166666666667,0.7107438016528926,0.7830188679245282,0.9080459770114943,0.9010989010989011,0.8484848484848485,0.8888888888888888,0.7378640776699029,0.20512820512820518,0.0,0.864406779661017,0.8794326241134752,0.8785714285714286,0.7669902912621359,0.8740740740740741,0.8561151079136691,0.839622641509434,0.8425196850393701,0.6310679611650485,0.7631578947368421,0.6822429906542056,0.7522935779816513,0.8272727272727273,0.768
4ZXY_4T1,0.9152542372881356,0.8545454545454545,0.8849557522123894,0.75,0.8727272727272728,0.8181818181818181,0.74,0.8785046728971962,0.8938053097345133,0.8938053097345133,0.8837209302325582,0.9166666666666666,0.9493670886075949,0.8571428571428572,0.8617886178861789,0.9135802469135803,0.8867924528301887,0.8672566371681416,0.864406779661017,0.0,0.6964285714285714,0.6936936936936937,0.8613861386138614,0.5858585858585859,0.7105263157894737,0.84375,0.7727272727272727,0.8782608695652174,0.8879310344827587,0.9067796610169492,0.9026548672566371,0.926605504587156,0.8264462809917356
5L2Z_70C,0.8656716417910448,0.8461538461538461,0.8970588235294118,0.8333333333333334,0.887218045112782,0.8592592592592593,0.828125,0.8571428571428572,0.8796992481203008,0.8359375,0.8648648648648649,0.8809523809523809,0.9191919191919192,0.88,0.8450704225352113,0.9019607843137255,0.890625,0.8823529411764706,0.8794326241134752,0.6964285714285714,0.0,0.03488372093023251,0.8699186991869918,0.5739130434782609,0.5258620689655172,0.875,0.6173913043478261,0.8582089552238806,0.8992805755395683,0.8832116788321168,0.8787878787878788,0.8984375,0.8391608391608392
5L2Y_70D,0.8731343283582089,0.8449612403100775,0.8962962962962963,0.83206106870229,0.8863636363636364,0.8582089552238806,0.8267716535433071,0.8650793650793651,0.8787878787878788,0.8346456692913385,0.8639455782312925,0.88,0.9292929292929293,0.8787878787878788,0.8439716312056738,0.900990099009901,0.889763779527559,0.8814814814814815,0.8785714285714286,0.6936936936936937,0.03488372093023251,0.0,0.8688524590163934,0.5701754385964912,0.5217391304347826,0.8739495798319328,0.6140350877192983,0.8571428571428572,0.8985507246376812,0.8823529411764706,0.8778625954198473,0.8976377952755905,0.8380281690140845
