,4KWO_1UD,4LBU_1WJ,4LEQ_1WK,3GC5_2MQ,4PUK_2WU,4Q4O_2YM,4Q4P_2YO,2BBF_344,3TLL_62D,5JXQ_6OK,3GC4_AAQ,3SM0_AEK,3GE7_AFQ,1K4G_AIQ,1K4H_APQ,1ENU_APZ,1S39_AQO,1N2V_BDI,2Z7K_BGU,1Q65_BHB,4PUJ_CKR,1F3E_DPZ,1R5Y_DQU,1Y5X_E89,3RR4_HRD,3S1G_ITE,6RKQ_K75,6RKT_K7H,1Q66_KMB,1S38_MAQ,1Y5V_NE8,1Y5W_NEZ,3EOS_PK2,3EOU_PK3,3C2Y_S60,2QZR_S79,4Q4Q_SAQ,4Q4R_SQO
3GC4_AAQ,0.4864864864864865,0.4794520547945206,0.4722222222222222,0.515625,0.55,0.6712328767123288,0.759493670886076,0.7272727272727273,0.6307692307692307,0.6056338028169015,0.0,0.6582278481012658,0.33333333333333337,0.7162162162162162,0.6617647058823529,0.8225806451612903,0.6491228070175439,0.8088235294117647,0.6610169491525424,0.6944444444444444,0.6710526315789473,0.8461538461538461,0.8507462686567164,0.5714285714285714,0.6101694915254237,0.6615384615384615,0.7466666666666666,0.7246376811594203,0.6231884057971014,0.734375,0.47619047619047616,0.5588235294117647,0.33333333333333337,0.523076923076923,0.6666666666666667,0.619718309859155,0.7307692307692308,0.7530864197530864
3SM0_AEK,0.6896551724137931,0.686046511627907,0.6976744186046512,0.5303030303030303,0.6911764705882353,0.7468354430379747,0.7012987012987013,0.7536231884057971,0.6811594202898551,0.7682926829268293,0.6582278481012658,0.0,0.4492753623188406,0.8024691358024691,0.7922077922077921,0.8805970149253731,0.8382352941176471,0.8142857142857143,0.8260869565217391,0.8148148148148149,0.7590361445783133,0.8840579710144928,0.8873239436619719,0.7088607594936709,0.6875,0.5873015873015873,0.7692307692307692,0.7671232876712328,0.8313253012048193,0.8472222222222222,0.7272727272727273,0.717948717948718,0.4492753623188406,0.5151515151515151,0.821917808219178,0.7951807228915663,0.7215189873417722,0.6794871794871795
3GE7_AFQ,0.4084507042253521,0.4,0.41428571428571426,0.523076923076923,0.5573770491803278,0.6388888888888888,0.7307692307692308,0.7313432835820896,0.6363636363636364,0.6301369863013699,0.33333333333333337,0.4492753623188406,0.0,0.72,0.6666666666666667,0.84375,0.7419354838709677,0.8115942028985508,0.6666666666666667,0.6986301369863014,0.6578947368421053,0.8484848484848485,0.8695652173913043,0.5972222222222222,0.6166666666666667,0.6666666666666667,0.7162162162162162,0.7101449275362319,0.72,0.7761194029850746,0.6142857142857143,0.6056338028169015,0.0,0.5076923076923077,0.671875,0.6973684210526316,0.7804878048780488,0.7407407407407407
1K4G_AIQ,0.7439024390243902,0.7407407407407407,0.7375,0.676923076923077,0.7,0.7605633802816901,0.8133333333333334,0.6607142857142857,0.7692307692307692,0.7323943661971831,0.7162162162162162,0.8024691358024691,0.72,0.0,0.42307692307692313,0.7692307692307692,0.6923076923076923,0.8387096774193549,0.6538461538461539,0.42592592592592593,0.7397260273972603,0.7547169811320755,0.8275862068965517,0.6617647058823529,0.7833333333333333,0.78125,0.8356164383561644,0.8208955223880597,0.5172413793103448,0.7586206896551724,0.640625,0.6515151515151515,0.72,0.6818181818181819,0.6842105263157895,0.7101449275362319,0.8,0.8051948051948052
1K4H_APQ,0.6973684210526316,0.6933333333333334,0.6891891891891893,0.6333333333333333,0.6545454545454545,0.7462686567164178,0.8356164383561644,0.6851851851851851,0.711864406779661,0.7164179104477613,0.6617647058823529,0.7922077922077921,0.6666666666666667,0.42307692307692313,0.0,0.75,0.6666666666666667,0.7636363636363637,0.625,0.23913043478260865,0.7246376811594203,0.7346938775510203,0.7924528301886793,0.6615384615384615,0.7454545454545455,0.7868852459016393,0.8260869565217391,0.828125,0.5357142857142857,0.7407407407407407,0.6612903225806452,0.6507936507936508,0.6666666666666667,0.639344262295082,0.6346153846153846,0.6923076923076923,0.821917808219178,0.8266666666666667
1ENU_APZ,0.8591549295774648,0.8571428571428572,0.855072463768116,0.7924528301886793,0.782608695652174,0.8421052631578947,0.8833333333333333,0.7674418604651163,0.84,0.8070175438596492,0.8225806451612903,0.8805970149253731,0.84375,0.7692307692307692,0.75,0.0,0.7222222222222222,0.8372093023255813,0.736842105263158,0.7647058823529411,0.8333333333333334,0.48275862068965514,0.6857142857142857,0.8103448275862069,0.813953488372093,0.8333333333333334,0.875,0.8823529411764706,0.7924528301886793,0.7804878048780488,0.7962962962962963,0.8035714285714286,0.84375,0.8181818181818181,0.7674418604651163,0.8035714285714286,0.847457627118644,0.8709677419354839
1S39_AQO,0.7681159420289855,0.7647058823529411,0.7611940298507462,0.6666666666666667,0.5714285714285714,0.75,0.8360655737704918,0.5384615384615384,0.7346938775510203,0.6415094339622642,0.6491228070175439,0.8382352941176471,0.7419354838709677,0.6923076923076923,0.6666666666666667,0.7222222222222222,0.0,0.8260869565217391,0.47058823529411764,0.6862745098039216,0.6785714285714286,0.7692307692307692,0.75,0.6964285714285714,0.7209302325581395,0.7755102040816326,0.8448275862068966,0.8269230769230769,0.5833333333333333,0.5789473684210527,0.5918367346938775,0.6851851851851851,0.7419354838709677,0.6730769230769231,0.5384615384615384,0.5510204081632653,0.7796610169491526,0.8253968253968254
1N2V_BDI,0.8289473684210527,0.8266666666666667,0.8243243243243243,0.7796610169491526,0.8363636363636364,0.8787878787878788,0.8805970149253731,0.8490566037735849,0.8,0.8307692307692307,0.8088235294117647,0.8142857142857143,0.8115942028985508,0.8387096774193549,0.7636363636363637,0.8372093023255813,0.8260869565217391,0.0,0.8085106382978724,0.8166666666666667,0.8695652173913043,0.8444444444444444,0.9411764705882353,0.796875,0.7959183673469388,0.8148148148148149,0.9076923076923077,0.8983050847457628,0.8387096774193549,0.7916666666666666,0.8032786885245902,0.7903225806451613,0.8115942028985508,0.7833333333333333,0.803921568627451,0.8636363636363636,0.8484848484848485,0.8529411764705882
2Z7K_BGU,0.7014925373134329,0.696969696969697,0.6923076923076923,0.6274509803921569,0.368421052631579,0.6415094339622642,0.7627118644067796,0.4054054054054054,0.5777777777777777,0.45833333333333337,0.6610169491525424,0.8260869565217391,0.6666666666666667,0.6538461538461539,0.625,0.736842105263158,0.47058823529411764,0.8085106382978724,0.0,0.6470588235294117,0.5384615384615384,0.75,0.7906976744186046,0.6363636363636364,0.45945945945945943,0.5909090909090908,0.7678571428571428,0.74,0.6538461538461539,0.6976744186046512,0.607843137254902,0.6226415094339622,0.6666666666666667,0.6346153846153846,0.21212121212121215,0.5102040816326531,0.6785714285714286,0.6896551724137931
1Q65_BHB,0.7088607594936709,0.7051282051282051,0.7012987012987013,0.6507936507936508,0.6724137931034483,0.7571428571428571,0.8421052631578947,0.7017543859649122,0.746031746031746,0.7285714285714286,0.6944444444444444,0.8148148148148149,0.6986301369863014,0.42592592592592593,0.23913043478260865,0.7647058823529411,0.6862745098039216,0.8166666666666667,0.6470588235294117,0.0,0.7361111111111112,0.75,0.8035714285714286,0.6764705882352942,0.7586206896551724,0.796875,0.8169014084507042,0.8,0.5593220338983051,0.7543859649122807,0.676923076923077,0.6666666666666667,0.6986301369863014,0.65625,0.6545454545454545,0.7058823529411764,0.8289473684210527,0.8333333333333334
