,3UUA_0CZ,2B1Z_17M,4MG7_27H,4MG9_27K,4MGD_27N,2B1V_458,2FAI_459,5DLR_5DJ,1ZKY_689,5T92_77W,5TLL_7EL,5FQT_7QN,5AK2_85Z,1XQC_AEJ,1XP1_AIH,1XP9_AIJ,1XPC_AIT,1XP6_AIU,1YIN_CM3,1YIM_CM4,5KR9_CUE,2Q70_DC8,1SJ0_E4D,1QKT_EST,6DF6_G8Y,1X7R_GEN,5FQP_GQD,5AAV_GW5,2IOG_IOG,2IOK_IOK,5FQS_J0W,2QE4_JJ3,5ACC_KE9,2AYR_L4G,2R6W_LLB,2R6Y_LLC,6SUO_LVH,5KCD_OB2,5KCE_OB3,5KCU_OB8,1UOM_PTI,5FQR_QHG,5FQV_VQI,2POG_WST,5AAU_XBR,1GWQ_ZTW
5KR9_CUE,0.8205128205128205,0.8035714285714286,0.8823529411764706,0.8297872340425532,0.825,0.8448275862068966,0.8448275862068966,0.8095238095238095,0.847457627118644,0.8382352941176471,0.8627450980392157,0.8857142857142857,0.6557377049180328,0.8571428571428572,0.8571428571428572,0.8428571428571429,0.8428571428571429,0.8571428571428572,0.8947368421052632,0.855072463768116,0.0,0.8214285714285714,0.855072463768116,0.8448275862068966,0.8666666666666667,0.6956521739130435,0.8333333333333334,0.8909090909090909,0.8536585365853658,0.84375,0.8382352941176471,0.8571428571428572,0.8987341772151899,0.8333333333333334,0.8142857142857143,0.8181818181818181,0.8875,0.8333333333333334,0.8615384615384616,0.8382352941176471,0.8571428571428572,0.8333333333333334,0.8732394366197183,0.8545454545454545,0.8805970149253731,0.7954545454545454
2Q70_DC8,0.782608695652174,0.796875,0.821917808219178,0.8596491228070176,0.8125,0.6949152542372881,0.7377049180327868,0.8235294117647058,0.7419354838709677,0.8289473684210527,0.8666666666666667,0.8421052631578947,0.8641975308641976,0.8,0.6956521739130435,0.6811594202898551,0.6811594202898551,0.6956521739130435,0.7297297297297297,0.6307692307692307,0.8214285714285714,0.0,0.6911764705882353,0.7377049180327868,0.7662337662337663,0.8333333333333334,0.7916666666666666,0.9242424242424242,0.8695652173913043,0.8648648648648649,0.8133333333333334,0.6333333333333333,0.8850574712643678,0.8809523809523809,0.8375,0.8421052631578947,0.8620689655172413,0.8059701492537313,0.8169014084507042,0.8133333333333334,0.8,0.7916666666666666,0.8311688311688312,0.5961538461538461,0.8513513513513513,0.8113207547169812
1SJ0_E4D,0.8688524590163934,0.8607594936708861,0.8620689655172413,0.8181818181818181,0.8709677419354839,0.7837837837837838,0.7671232876712328,0.859375,0.7702702702702703,0.8666666666666667,0.8904109589041096,0.8390804597701149,0.8829787234042553,0.788235294117647,0.22413793103448276,0.32258064516129037,0.32258064516129037,0.22413793103448276,0.42647058823529416,0.3548387096774194,0.855072463768116,0.6911764705882353,0.0,0.8607594936708861,0.5974025974025974,0.863013698630137,0.8235294117647058,0.9090909090909091,0.6704545454545454,0.872093023255814,0.8539325842696629,0.7333333333333334,0.9,0.6282051282051282,0.6233766233766234,0.5571428571428572,0.8910891089108911,0.8076923076923077,0.8024691358024691,0.7857142857142857,0.5285714285714286,0.8095238095238095,0.8426966292134832,0.7164179104477613,0.8333333333333334,0.8125
1QKT_EST,0.86,0.6779661016949152,0.8243243243243243,0.8421052631578947,0.8627450980392157,0.8181818181818181,0.78125,0.8703703703703703,0.8208955223880597,0.7671232876712328,0.8688524590163934,0.8289473684210527,0.8658536585365854,0.7361111111111112,0.8481012658227848,0.8354430379746836,0.8354430379746836,0.8481012658227848,0.8823529411764706,0.8157894736842105,0.8448275862068966,0.7377049180327868,0.8607594936708861,0.0,0.8571428571428572,0.873015873015873,0.7605633802816901,0.9253731343283582,0.8947368421052632,0.8961038961038961,0.75,0.7424242424242424,0.9111111111111111,0.8690476190476191,0.8395061728395061,0.8734177215189873,0.8636363636363636,0.8591549295774648,0.8513513513513513,0.8607594936708861,0.7702702702702703,0.7246376811594203,0.8026315789473684,0.7868852459016393,0.868421052631579,0.8148148148148149
6DF6_G8Y,0.8805970149253731,0.8571428571428572,0.8586956521739131,0.8493150684931507,0.8985507246376812,0.8433734939759037,0.8292682926829268,0.9027777777777778,0.8313253012048193,0.8631578947368421,0.8552631578947368,0.8494623655913979,0.8556701030927836,0.8152173913043479,0.5657894736842105,0.7058823529411764,0.7058823529411764,0.5657894736842105,0.6385542168674698,0.5974025974025974,0.8666666666666667,0.7662337662337663,0.5974025974025974,0.8571428571428572,0.0,0.858974358974359,0.8351648351648352,0.9285714285714286,0.7821782178217822,0.8924731182795699,0.851063829787234,0.8117647058823529,0.8952380952380953,0.7011494252873562,0.7272727272727273,0.7261904761904762,0.8867924528301887,0.8488372093023255,0.8555555555555556,0.8260869565217391,0.6707317073170731,0.8222222222222222,0.8526315789473684,0.8205128205128205,0.8571428571428572,0.8767123287671232
1X7R_GEN,0.8095238095238095,0.8548387096774194,0.8571428571428572,0.8200000000000001,0.813953488372093,0.8166666666666667,0.8360655737704918,0.8260869565217391,0.819672131147541,0.863013698630137,0.76,0.8918918918918919,0.8055555555555556,0.8947368421052632,0.8648648648648649,0.8666666666666667,0.8666666666666667,0.8648648648648649,0.8717948717948718,0.863013698630137,0.6956521739130435,0.8333333333333334,0.863013698630137,0.873015873015873,0.858974358974359,0.0,0.875,0.9166666666666666,0.8735632183908046,0.8529411764705882,0.863013698630137,0.8307692307692307,0.9294117647058824,0.8266666666666667,0.8243243243243243,0.8115942028985508,0.9186046511627907,0.7868852459016393,0.8,0.7794117647058824,0.8947368421052632,0.875,0.88,0.8245614035087719,0.9178082191780822,0.7608695652173914
5FQP_GQD,0.8833333333333333,0.8108108108108107,0.8170731707317074,0.8307692307692307,0.8666666666666667,0.8108108108108107,0.7777777777777778,0.8360655737704918,0.7808219178082192,0.6301369863013699,0.855072463768116,0.453125,0.6962025316455696,0.7051282051282051,0.7831325301204819,0.7857142857142857,0.7857142857142857,0.7831325301204819,0.8333333333333334,0.7804878048780488,0.8333333333333334,0.7916666666666666,0.8235294117647058,0.7605633802816901,0.8351648351648352,0.875,0.0,0.6774193548387097,0.826530612244898,0.8271604938271605,0.5074626865671642,0.8076923076923077,0.6666666666666667,0.8461538461538461,0.8045977011494253,0.8352941176470589,0.6904761904761905,0.8333333333333334,0.8271604938271605,0.8235294117647058,0.6883116883116883,0.2807017543859649,0.4461538461538461,0.8333333333333334,0.7848101265822784,0.84375
5AAV_GW5,0.9148936170212766,0.9090909090909091,0.875,0.7755102040816326,0.8936170212765957,0.8571428571428572,0.8387096774193549,0.75,0.8769230769230769,0.7272727272727273,0.8947368421052632,0.6612903225806452,0.7205882352941176,0.8961038961038961,0.8961038961038961,0.9113924050632911,0.9113924050632911,0.8961038961038961,0.9012345679012346,0.9090909090909091,0.8909090909090909,0.9242424242424242,0.9090909090909091,0.9253731343283582,0.9285714285714286,0.9166666666666666,0.6774193548387097,0.0,0.8488372093023255,0.8208955223880597,0.6875,0.9,0.704225352112676,0.9012345679012346,0.8717948717948718,0.8783783783783784,0.7123287671232876,0.828125,0.8382352941176471,0.8493150684931507,0.8666666666666667,0.6774193548387097,0.6923076923076923,0.9032258064516129,0.8405797101449275,0.9259259259259259
2IOG_IOG,0.88,0.8586956521739131,0.8484848484848485,0.8076923076923077,0.8666666666666667,0.8586956521739131,0.8461538461538461,0.8421052631578947,0.8602150537634409,0.8415841584158416,0.896551724137931,0.84,0.8235294117647058,0.8316831683168316,0.7311827956989247,0.7604166666666666,0.7604166666666666,0.7311827956989247,0.6881720430107527,0.6704545454545454,0.8536585365853658,0.8695652173913043,0.6704545454545454,0.8947368421052632,0.7821782178217822,0.8735632183908046,0.826530612244898,0.8488372093023255,0.0,0.3529411764705882,0.8181818181818181,0.8297872340425532,0.8207547169811321,0.6444444444444444,0.6703296703296704,0.6190476190476191,0.8130841121495327,0.8387096774193549,0.8333333333333334,0.83,0.6590909090909092,0.8144329896907216,0.8316831683168316,0.8777777777777778,0.7849462365591398,0.8765432098765432
2IOK_IOK,0.8363636363636364,0.8666666666666667,0.8395061728395061,0.8032786885245902,0.8181818181818181,0.8356164383561644,0.8194444444444444,0.8070175438596492,0.8378378378378378,0.8588235294117648,0.8656716417910448,0.8433734939759037,0.8095238095238095,0.8735632183908046,0.8470588235294118,0.8352941176470589,0.8352941176470589,0.8470588235294118,0.8666666666666667,0.8588235294117648,0.84375,0.8648648648648649,0.872093023255814,0.8961038961038961,0.8924731182795699,0.8529411764705882,0.8271604938271605,0.8208955223880597,0.3529411764705882,0.0,0.8313253012048193,0.8461538461538461,0.7931034482758621,0.8539325842696629,0.8255813953488372,0.8292682926829268,0.7840909090909091,0.8108108108108107,0.8205128205128205,0.8170731707317074,0.8604651162790697,0.8271604938271605,0.8470588235294118,0.875,0.76,0.8548387096774194
