,1Y2C_3DE,4WCU_3KQ,1Y2D_4DE,1Y2E_5DE,5LBO_6M5,1Y2K_7DE,3G58_988,6IM6_AH3,6IMI_AH6,6IMD_AH9,6IMO_AJL,6IMR_AJX,6IMT_AK0,6IND_AKO,6INK_AKU,1XOM_CIO,6F6U_CV8,6F8R_CZK,6F8U_CZQ,6F8T_CZT,6F8X_D08,6F8V_D0B,6F8W_D0E,3G4G_D71,1Y2B_DEE,6HWO_FFZ,5WQA_J20,3SL4_JN4,3SL6_JN8,6KK0_M36,2FM0_M98,2FM5_M99,6KJZ_MKU,2QYN_NPV,1XON_PIL,1XOQ_ROF,3G4K_ROL,1XOR_ZAR
6F8R_CZK,0.9024390243902439,0.8404255319148937,0.8227848101265822,0.8481012658227848,0.7525773195876289,0.8620689655172413,0.9021739130434783,0.8205128205128205,0.8205128205128205,0.8356164383561644,0.797752808988764,0.8064516129032258,0.8085106382978724,0.8064516129032258,0.8021978021978022,0.6923076923076923,0.6375,0.0,0.6976744186046512,0.5769230769230769,0.6125,0.45945945945945943,0.3382352941176471,0.9285714285714286,0.9054054054054054,0.7959183673469388,0.8709677419354839,0.900990099009901,0.8333333333333334,0.8623853211009174,0.8155339805825242,0.8155339805825242,0.88,0.8791208791208791,0.6578947368421053,0.7931034482758621,0.6666666666666667,0.7397260273972603
6F8U_CZQ,0.8607594936708861,0.8645833333333334,0.8658536585365854,0.8625,0.8365384615384616,0.8620689655172413,0.925531914893617,0.85,0.85,0.8513513513513513,0.8241758241758241,0.8315789473684211,0.8210526315789474,0.8315789473684211,0.8279569892473118,0.725,0.18333333333333335,0.6976744186046512,0.0,0.41428571428571426,0.6941176470588235,0.5194805194805194,0.6547619047619048,0.9175257731958762,0.8904109589041096,0.8316831683168316,0.8829787234042553,0.8787878787878788,0.81,0.8518518518518519,0.7551020408163265,0.7551020408163265,0.8686868686868687,0.9032258064516129,0.725,0.7349397590361446,0.72,0.7567567567567568
6F8T_CZT,0.8734177215189873,0.8631578947368421,0.85,0.875,0.8118811881188119,0.8735632183908046,0.9361702127659575,0.8181818181818181,0.8181818181818181,0.8169014084507042,0.7954545454545454,0.8043478260869565,0.8064516129032258,0.8043478260869565,0.8,0.6883116883116883,0.3125,0.5769230769230769,0.41428571428571426,0.0,0.6585365853658536,0.5512820512820513,0.6506024096385542,0.9166666666666666,0.9333333333333333,0.8181818181818181,0.8817204301075269,0.9108910891089109,0.8431372549019608,0.8504672897196262,0.8252427184466019,0.8252427184466019,0.8556701030927836,0.9368421052631579,0.6883116883116883,0.8444444444444444,0.6619718309859155,0.8333333333333334
6F8X_D08,0.8734177215189873,0.8260869565217391,0.8051948051948052,0.8311688311688312,0.75,0.8470588235294118,0.8888888888888888,0.8026315789473684,0.8026315789473684,0.8169014084507042,0.7954545454545454,0.8043478260869565,0.8064516129032258,0.8043478260869565,0.8,0.6533333333333333,0.6153846153846154,0.6125,0.6941176470588235,0.6585365853658536,0.0,0.5875,0.6,0.9278350515463918,0.8732394366197183,0.7938144329896908,0.8571428571428572,0.8888888888888888,0.8200000000000001,0.839622641509434,0.8137254901960784,0.8137254901960784,0.84375,0.8777777777777778,0.6351351351351351,0.8181818181818181,0.6428571428571428,0.7702702702702703
6F8V_D0B,0.8780487804878049,0.8191489361702128,0.7974683544303798,0.8227848101265822,0.7448979591836735,0.8390804597701149,0.9042553191489362,0.825,0.825,0.84,0.8021978021978022,0.8105263157894737,0.8125,0.8105263157894737,0.8064516129032258,0.6666666666666667,0.41428571428571426,0.45945945945945943,0.5194805194805194,0.5512820512820513,0.5875,0.0,0.23076923076923073,0.9191919191919192,0.8783783783783784,0.7878787878787878,0.8854166666666666,0.892156862745098,0.8137254901960784,0.822429906542056,0.8301886792452831,0.8301886792452831,0.86,0.8817204301075269,0.6493506493506493,0.797752808988764,0.6756756756756757,0.7466666666666666
6F8W_D0E,0.8765432098765432,0.8172043010752688,0.7948717948717949,0.8205128205128205,0.7422680412371134,0.8372093023255813,0.9032258064516129,0.8076923076923077,0.8076923076923077,0.821917808219178,0.7865168539325843,0.7956989247311828,0.7978723404255319,0.7956989247311828,0.7912087912087912,0.6623376623376623,0.5714285714285714,0.3382352941176471,0.6547619047619048,0.6506024096385542,0.6,0.23076923076923073,0.0,0.9183673469387755,0.8767123287671232,0.7857142857142857,0.8723404255319149,0.88,0.8,0.8317757009345794,0.8285714285714285,0.8285714285714285,0.87,0.8681318681318682,0.6266666666666667,0.7816091954022988,0.6712328767123288,0.7432432432432432
3G4G_D71,0.863013698630137,0.8409090909090909,0.868421052631579,0.8648648648648649,0.8932038834951457,0.6666666666666667,0.5970149253731343,0.9102564102564102,0.9102564102564102,0.9315068493150684,0.8636363636363636,0.8695652173913043,0.8947368421052632,0.8936170212765957,0.8666666666666667,0.9325842696629214,0.9148936170212766,0.9285714285714286,0.9175257731958762,0.9166666666666666,0.9278350515463918,0.9191919191919192,0.9183673469387755,0.0,0.927536231884058,0.8673469387755102,0.9230769230769231,0.9052631578947369,0.912621359223301,0.9065420560747663,0.8942307692307693,0.8942307692307693,0.90625,0.7162162162162162,0.8823529411764706,0.8604651162790697,0.9146341463414634,0.9102564102564102
1Y2B_DEE,0.6590909090909092,0.8695652173913043,0.6222222222222222,0.6046511627906976,0.9024390243902439,0.6666666666666667,0.9230769230769231,0.8703703703703703,0.8703703703703703,0.92,0.8985507246376812,0.904109589041096,0.92,0.904109589041096,0.9014084507042254,0.9076923076923077,0.8857142857142857,0.9054054054054054,0.8904109589041096,0.9333333333333333,0.8732394366197183,0.8783783783783784,0.8767123287671232,0.927536231884058,0.0,0.8987341772151899,0.9117647058823529,0.8571428571428572,0.8571428571428572,0.9058823529411765,0.9294117647058824,0.9294117647058824,0.92,0.890625,0.890625,0.8955223880597015,0.9166666666666666,0.8490566037735849
6HWO_FFZ,0.8433734939759037,0.7078651685393258,0.8488372093023255,0.872093023255814,0.6344086021505376,0.8461538461538461,0.8854166666666666,0.8192771084337349,0.8192771084337349,0.8181818181818181,0.7717391304347826,0.78125,0.8200000000000001,0.8181818181818181,0.7765957446808511,0.8,0.8020833333333334,0.7959183673469388,0.8316831683168316,0.8181818181818181,0.7938144329896908,0.7878787878787878,0.7857142857142857,0.8673469387755102,0.8987341772151899,0.0,0.8673469387755102,0.8061224489795918,0.8317757009345794,0.8392857142857143,0.8256880733944953,0.8256880733944953,0.854368932038835,0.851063829787234,0.8,0.8191489361702128,0.813953488372093,0.7901234567901234
5WQA_J20,0.8933333333333333,0.8913043478260869,0.8055555555555556,0.8947368421052632,0.86,0.8780487804878049,0.8941176470588236,0.8513513513513513,0.8513513513513513,0.8529411764705882,0.8764044943820225,0.8817204301075269,0.8829787234042553,0.8817204301075269,0.8791208791208791,0.8125,0.8539325842696629,0.8709677419354839,0.8829787234042553,0.8817204301075269,0.8571428571428572,0.8854166666666666,0.8723404255319149,0.9230769230769231,0.9117647058823529,0.8673469387755102,0.0,0.9166666666666666,0.912621359223301,0.875,0.9150943396226415,0.9150943396226415,0.8586956521739131,0.9080459770114943,0.8554216867469879,0.9111111111111111,0.8734177215189873,0.881578947368421
