,5ZC5_09I,1GI7_120,1GI9_123,1GJC_130,1GJ7_132,1GJ8_133,1GJ9_134,1GJA_135,1GJD_136,1OWH_239,5ZA8_27I,5ZAF_28I,1SC8_2IN,5ZAJ_32I,3IG6_438,1OWD_497,2R2W_4PG,5ZA9_50I,1VJ9_5IN,1O3P_655,1OWE_675,1O5A_696,1VJA_7IN,5ZAG_94I,1EJN_AGB,6NMB_AMH,1F5L_AMR,1O5C_CR9,2VIQ_D55,2VIW_D56,5ZAE_EAU,1C5X_ESI,1C5Y_ESP,5ZA7_HMX,2VIO_L1O,2VIP_L1R,2VNT_QGG,1W0Z_SI1,1W11_SK1,1W13_SM1,1SQA_UI1,1SQO_UI2,1SQT_UI3,2VIV_VG2
5ZAF_28I,0.3913043478260869,0.8765432098765432,0.8809523809523809,0.8271604938271605,0.9058823529411765,0.8736842105263158,0.8541666666666666,0.8028169014084507,0.8313253012048193,0.7837837837837838,0.3114754098360656,0.0,0.8888888888888888,0.42028985507246375,0.8557692307692308,0.8505747126436781,0.7857142857142857,0.34375,0.8736842105263158,0.8636363636363636,0.7714285714285715,0.8765432098765432,0.875,0.24561403508771928,0.7922077922077921,0.890625,0.6666666666666667,0.8877551020408163,0.896551724137931,0.8202247191011236,0.27118644067796616,0.9189189189189189,0.8571428571428572,0.6461538461538461,0.9027777777777778,0.896551724137931,0.8409090909090909,0.8461538461538461,0.8478260869565217,0.8369565217391304,0.8275862068965517,0.8533333333333333,0.813953488372093,0.8095238095238095
1SC8_2IN,0.8762886597938144,0.858974358974359,0.891566265060241,0.8076923076923077,0.8481012658227848,0.8709677419354839,0.875,0.7424242424242424,0.8554216867469879,0.7605633802816901,0.9021739130434783,0.8888888888888888,0.0,0.8969072164948454,0.875,0.8048780487804879,0.7230769230769231,0.8695652173913043,0.30645161290322576,0.8863636363636364,0.7462686567164178,0.8133333333333334,0.20370370370370372,0.898876404494382,0.7702702702702703,0.9047619047619048,0.8695652173913043,0.9299999999999999,0.8674698795180723,0.8924731182795699,0.8764044943820225,0.8857142857142857,0.9014084507042254,0.925,0.8507462686567164,0.8395061728395061,0.8636363636363636,0.5285714285714286,0.3492063492063492,0.4558823529411765,0.75,0.7647058823529411,0.7951807228915663,0.8863636363636364
5ZAJ_32I,0.4871794871794872,0.8863636363636364,0.8390804597701149,0.8539325842696629,0.9247311827956989,0.8484848484848485,0.8415841584158416,0.8354430379746836,0.8444444444444444,0.8170731707317074,0.38235294117647056,0.42028985507246375,0.8969072164948454,0.0,0.8545454545454545,0.8617021276595744,0.8205128205128205,0.452054794520548,0.8712871287128713,0.8617021276595744,0.8076923076923077,0.898876404494382,0.8842105263157894,0.3787878787878788,0.8235294117647058,0.9014084507042254,0.7014925373134329,0.8737864077669903,0.8804347826086957,0.7956989247311828,0.42028985507246375,0.9390243902439024,0.8552631578947368,0.6619718309859155,0.8831168831168831,0.8804347826086957,0.8279569892473118,0.8333333333333334,0.846938775510204,0.8367346938775511,0.8404255319148937,0.8658536585365854,0.7752808988764045,0.7840909090909091
3IG6_438,0.8256880733944953,0.8979591836734694,0.8556701030927836,0.845360824742268,0.8421052631578947,0.8076923076923077,0.8130841121495327,0.8791208791208791,0.8712871287128713,0.7840909090909091,0.8571428571428572,0.8557692307692308,0.875,0.8545454545454545,0.0,0.8529411764705882,0.8666666666666667,0.8504672897196262,0.8727272727272728,0.83,0.8295454545454546,0.8387096774193549,0.8737864077669903,0.8640776699029127,0.865979381443299,0.8571428571428572,0.9101123595505618,0.8113207547169812,0.8585858585858586,0.8598130841121495,0.8333333333333334,0.9101123595505618,0.8977272727272727,0.8829787234042553,0.8571428571428572,0.8350515463917526,0.8446601941747574,0.8909090909090909,0.8611111111111112,0.8623853211009174,0.797979797979798,0.8555555555555556,0.8217821782178218,0.8529411764705882
1OWD_497,0.8526315789473684,0.8441558441558441,0.8205128205128205,0.8227848101265822,0.8765432098765432,0.8586956521739131,0.8387096774193549,0.7230769230769231,0.75,0.5573770491803278,0.8522727272727273,0.8505747126436781,0.8048780487804879,0.8617021276595744,0.8529411764705882,0.0,0.7794117647058824,0.8444444444444444,0.8202247191011236,0.8192771084337349,0.576271186440678,0.7972972972972973,0.8024691358024691,0.8604651162790697,0.7866666666666666,0.8688524590163934,0.8181818181818181,0.8617021276595744,0.7792207792207793,0.8160919540229885,0.8505747126436781,0.9014084507042254,0.8857142857142857,0.8974358974358975,0.8676470588235294,0.7466666666666666,0.8505747126436781,0.8023255813953488,0.8181818181818181,0.8202247191011236,0.6486486486486487,0.7462686567164178,0.7951807228915663,0.7901234567901234
2R2W_4PG,0.7948717948717949,0.8615384615384616,0.8840579710144928,0.78125,0.8656716417910448,0.8461538461538461,0.8658536585365854,0.5833333333333333,0.75,0.5961538461538461,0.8055555555555556,0.7857142857142857,0.7230769230769231,0.8205128205128205,0.8666666666666667,0.7794117647058824,0.0,0.7638888888888888,0.7323943661971831,0.8783783783783784,0.5918367346938775,0.8253968253968254,0.6984126984126984,0.7971014492753623,0.5384615384615384,0.851063829787234,0.8113207547169812,0.9176470588235294,0.8382352941176471,0.8717948717948718,0.7681159420289855,0.875,0.875,0.9076923076923077,0.8301886792452831,0.803030303030303,0.881578947368421,0.7246376811594203,0.6716417910447761,0.5483870967741935,0.7121212121212122,0.8103448275862069,0.8028169014084507,0.8472222222222222
5ZA9_50I,0.23076923076923073,0.8554216867469879,0.8735632183908046,0.8072289156626506,0.8850574712643678,0.8556701030927836,0.8367346938775511,0.7808219178082192,0.8255813953488372,0.7792207792207793,0.3787878787878788,0.34375,0.8695652173913043,0.452054794520548,0.8504672897196262,0.8444444444444444,0.7638888888888888,0.0,0.8556701030927836,0.8444444444444444,0.7323943661971831,0.8554216867469879,0.8555555555555556,0.3492063492063492,0.8024691358024691,0.8970588235294118,0.6875,0.87,0.8888888888888888,0.8152173913043479,0.29032258064516125,0.8947368421052632,0.8169014084507042,0.6666666666666667,0.8933333333333333,0.8764044943820225,0.8351648351648352,0.8526315789473684,0.8297872340425532,0.8191489361702128,0.8089887640449438,0.8157894736842105,0.8222222222222222,0.7906976744186046
1VJ9_5IN,0.8737864077669903,0.8571428571428572,0.875,0.8095238095238095,0.8604651162790697,0.8686868686868687,0.883495145631068,0.7671232876712328,0.8666666666666667,0.782051282051282,0.8865979381443299,0.8736842105263158,0.30645161290322576,0.8712871287128713,0.8727272727272728,0.8202247191011236,0.7323943661971831,0.8556701030927836,0.0,0.8709677419354839,0.7702702702702703,0.8292682926829268,0.17543859649122806,0.8829787234042553,0.775,0.9142857142857143,0.8666666666666667,0.9245283018867925,0.8777777777777778,0.9,0.8617021276595744,0.9102564102564102,0.9102564102564102,0.9310344827586207,0.8648648648648649,0.8522727272727273,0.8854166666666666,0.5135135135135135,0.34328358208955223,0.4444444444444444,0.7840909090909091,0.8026315789473684,0.8111111111111111,0.8947368421052632
1O3P_655,0.8404255319148937,0.4655172413793104,0.5161290322580645,0.5909090909090908,0.7183098591549295,0.6875,0.6829268292682926,0.863013698630137,0.8953488372093024,0.8266666666666667,0.8777777777777778,0.8636363636363636,0.8863636363636364,0.8617021276595744,0.83,0.8192771084337349,0.8783783783783784,0.8444444444444444,0.8709677419354839,0.0,0.8169014084507042,0.564516129032258,0.8850574712643678,0.8735632183908046,0.8902439024390244,0.9047619047619048,0.8857142857142857,0.42647058823529416,0.8674698795180723,0.8804347826086957,0.8372093023255813,0.8181818181818181,0.8,0.8831168831168831,0.8840579710144928,0.8536585365853658,0.8095238095238095,0.9042553191489362,0.8936170212765957,0.9175257731958762,0.8235294117647058,0.8,0.8372093023255813,0.8735632183908046
1OWE_675,0.7662337662337663,0.8095238095238095,0.8181818181818181,0.6379310344827587,0.8153846153846154,0.8026315789473684,0.7792207792207793,0.43181818181818177,0.6721311475409837,0.2790697674418605,0.7916666666666666,0.7714285714285715,0.7462686567164178,0.8076923076923077,0.8295454545454546,0.576271186440678,0.5918367346938775,0.7323943661971831,0.7702702702702703,0.8169014084507042,0.0,0.728813559322034,0.7424242424242424,0.782608695652174,0.7166666666666667,0.8541666666666666,0.8148148148148149,0.8795180722891567,0.7878787878787878,0.8289473684210527,0.7536231884057971,0.8571428571428572,0.8363636363636364,0.875,0.8333333333333334,0.7096774193548387,0.8533333333333333,0.7285714285714286,0.6764705882352942,0.7183098591549295,0.5901639344262295,0.7037037037037037,0.696969696969697,0.782608695652174
