COc1ccc(cc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N  1BN4_AL9
CC(=O)N[C@@H](COC)C(=O)NCc1ccccc1  3IEO_AMJ
c1ccc(cc1)OCc2cn(nn2)c3ccc(cc3)S(N)(O)O  5LJQ_ANV
C1C2CC3CC1CC(C2)(C3)C(=O)Nc4nnc(s4)S(=O)(=O)N  3MHC_ARZ
c1cc(cc(c1)[N+](=O)[O-])NC(=O)Nc2ccc(cc2)S(=O)(=O)N  3N2P_AYX
CC(=O)Nc1nnc(s1)S(=O)(=O)N  3HS4_AZM
CONS(=O)(=O)c1ccccc1  3T5Z_B09
CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)CNS(=O)(=O)N)C  2H15_B19
c1cc(c(cc1N/C(=NO)/c2c(non2)NCCNS(=O)(=O)N)Br)F  6IC2_BBJ
c1cc(ccc1c2ccc(cc2)S(=O)(=O)N)N  5E28_BC5
c1cc[n+](c(c1)S)O  3M1K_BEW
CN(C)c1nnc(s1)CS(=O)(=O)N  3BL0_BL0
C[C@H]1Cc2ccccc2N1NC(=O)c3ccc(c(c3)S(=O)(=O)N)Cl  3BL1_BL1
c1cc(ccc1N[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)S(=O)(=O)N  2HL4_BO1
B1(OC(C(O1)(C)C)(C)C)c2ccc(cc2)NS(=O)(=O)N  3MNU_BON
c1ccc(c(c1)C(=O)Nc2ccc(cc2)S(=O)(=O)N)S  2HD6_BOS
CCCCCCCCOS(=O)(=O)N  3IBI_BOW
c1ccc(cc1)CNC(=O)c2ccc(cc2)S(=O)(=O)N  1G4O_BSB
c1ccc(cc1)c2cc([n+](c(c2)c3ccccc3)CCc4ccc(cc4)S(=O)(=O)N)c5ccccc5  6EQU_BVE
c1cc(cc(c1)N)c2ccc(cc2)S(=O)(=O)N  5E2K_BX4
CCN[C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC  4M2R_BZ1
c1cc(cc(c1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N)C(=O)OCCCCO[N+](=O)[O-]  3NI5_C1H
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F  1OQ5_CEL
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C  4N16_CHD
Cc1c(c(no1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N  2AW1_COX
c1cc(ccc1CCNC(=O)Cn2cnc3c2ncnc3N)S(=O)(=O)N  6B5A_CQS
C[C@]12CC[C@@H]3c4cc(c(cc4CC[C@H]3[C@@H]1CC[C@@H]2CC#N)OS(=O)(=O)N)OC  3BET_CTF
COc1ccc(cc1OC)CCNC(=O)c2ccc(cc2)S(=O)(=O)N  3V7X_D7A
c1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N  3DBU_D8W
c1cc(ccc1Nc2nc(nc(n2)Cl)NCCO)S(=O)(=O)N  3MMF_D9H
c1ccc(c(c1)c2nnc(s2)S(=O)(=O)N)Cl  3DCC_D9Z
C#Cc1cccc(c1)S(=O)(=O)N  3KIG_DA4
COc1ccc2c(c1)ccc[n+]2C(=O)c3ccc(cc3)S(=O)(=O)N  4Z1E_DF5
c1c([nH+]c[nH]1)C[C@H](C(=O)O)N  2EZ7_DHI
c1ccc(cc1)C[C@H](C(=O)O)N  2FMZ_DPN
COc1cc2c(cc1OC)C[N@@](CC2)S(=O)(=O)N  3IGP_DT7
COC(=O)CNc1nc(nc(n1)Cl)Nc2ccc(cc2)S(=O)(=O)N  3MNA_DWH
Cc1cc(nc(n1)SCC(=O)c2ccc(c(c2)Cl)S(=O)(=O)N)C  4KNI_E1E
c1cnc(nc1)SCC(=O)c2ccc(c(c2)Cl)S(=O)(=O)N  4KNJ_E1F
c1ccc2c(c1)c3c(cn2)nc([nH]3)SCC(=O)c4ccc(c(c4)S(=O)(=O)N)Cl  3MYQ_E27
CCCCc1cnc(nc1)SCC(=O)c2ccc(cc2)S(=O)(=O)N  3SAP_E2I
c1cc(c(cc1C(=O)CSc2[nH]c3cc4c(cc3n2)OCCO4)S(=O)(=O)N)Cl  3M67_E36
