c1cc(c(c(c1)F)C(=O)Nc2c[nH]nc2C(=O)Nc3ccc(cc3)F)F  2VTP_LZ9
c1cc(c(c(c1)F)C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3)F  2VTQ_LZA
CC(C)Nc1cc(nc2n1ncc2C#N)Cl  2VTR_LZB
CC(C)Nc1cc(nc2n1ncc2C#N)NC3CCC(CC3)N  2VTS_LZC
c1cc(c(c(c1)F)C(=O)Nc2c[nH]nc2C(=O)N[C@H]3CCCNC3)F  2VTT_LZD
c1cc(c(c(c1)Cl)C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3)Cl  2VU3_LZE
COc1ccnc2c1c(c[nH]2)c3ccnc(n3)N  3BHT_MFR
CCCOc1ccnc2c1c(c[nH]2)c3ccnc(n3)N  3BHU_MHR
c1cc(cc(c1)C2=N/C(=Nc3cccc(c3)[N+](=O)[O-])/N=CC2)Cn4cncn4  2C5Y_MTW
c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)O  1OI9_N20
c1cc(ccc1C(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3  1OIY_N41
c1ccc(cc1)C(=O)Nc2cc(n[nH]2)C3CC3  1VYZ_N5B
c1cc(cc(c1)S(=O)(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3  1OIU_N76
CC(C)c1cnn2c1nc(cc2NCc3ccccc3)N[C@@H](CO)[C@@H](CO)O  3NS9_NS9
c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)S(=O)(=O)CCNCCCO  2G9X_NU5
C1CCC(CC1)COc2c(c(nc(n2)N)N)N=O  1E1X_NW1
CC1(Cc2cnc(nc2-c3c1c(nn3C)C(=O)NC)Nc4ccc(cc4)N5CCN(CC5)C)C  2WIH_P48
CCOc1ccc(cc1)Nc2c(c(nc3n2ncc3)N[C@H]4CCCNC4)C  3WBL_PDY
c1ccc(cc1)C(=O)c2c(nc3n2cc(cc3)C(=O)c4c(cccc4F)F)N  1PYE_PM1
CC(C)c1cc(nc(n1)N)c2cc(ccc2O)N3C[C@@H]([C@H](C3)O)O  3S2P_PMU
Cc1ccc(c(c1)N(CC#N)c2cc(ncn2)Nc3ccc(cc3)OC[C@@H](CN(C)C)O)Cl  2IW6_QQ2
C[C@H]([C@@H](C)Oc1c(cnc(n1)Nc2ccc(cc2)[S@](C3CC3)(N)O)C(F)(F)F)O  5IEV_R0N
c1c2c(cc(c1Cl)Cl)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O  3MY5_RFZ
CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3  3DDQ_RRC
c1cc(c(c(c1)Cl)Cl)c2cc(n3c(n2)ccn3)NCc4ccncc4  2R3F_SC8
c1ccc(c(c1)c2cn3ccnc3c(n2)NCc4cccnc4)F  2R3G_SC9
Cc1cnc2n1ccnc2NCc3ccncc3  2R3H_SCE
c1ccc(c(c1)c2cc(n3c(n2)ccn3)NCc4ccncc4)F  2R3I_SCF
c1ccc(cc1)c2cc(n3c(n2)c(cn3)Br)NCc4cccnc4  2R3J_SCJ
c1ccc(cc1)c2cc3c(cnn3c(c2)NCc4cncnc4)Br  2R3K_SCQ
c1ccc(cc1)c2cc(c3ncc(n3c2)Br)NCc4cncnc4  2R3L_SCW
CCc1cnn2c1nc(cc2NCc3cnc(nc3)N)c4c(cccc4F)F  2R3M_SCX
c1ccc(cc1)c2cc(n3c(n2)c(cn3)C4CC4)NCc5cccnc5  2R3N_SCZ
Cc1c(cccc1S(=O)(=O)N)c2[nH]c3c(n2)nc(nc3OCC4CCCCC4)N  4CFW_SQ9
COc1ccc2c(c1)/C(=C/c3cnc[nH]3)/C(=O)N2  3PY0_SU9
Cc1c(sc(n1)NC)c2c(cnc(n2)Nc3cccc(c3)N4CCCNCC4)C#N  4BCP_T3C
Cc1c(sc(n1)NC)c2c(cnc(n2)Nc3cccc(c3)S(=O)(=O)N)C#N  4BCK_T3E
Cc1c(sc(n1)NC)c2c(cnc(n2)Nc3cccc(c3)N4CCCN(CC4)C(=O)C)C#N  4BCO_T6Q
Cc1ccc(cc1S(=O)(=O)N2CCOCC2)Nc3ncc(c(n3)C4=C(NC(=NC)S4)C)C#N  4BCM_T7Z
Cc1c(sc(n1)NC)c2c(cnc(n2)Nc3cccc(c3)O)C#N  4BCN_T9N
Cc1c(sc(n1)NC)c2c(cnc(n2)Nc3cccc(c3)C(=O)N4CCOCC4)C#N  4BCQ_TJF
CC(C)c1cnc(s1)Nc2ccc(cc2)S(=O)(=O)N  2BTS_U32
CC(C)C1=CN/C(=N/C(=O)Cc2cccnc2)/S1  2BTR_U73
c1cnc(n2c1c(c3c2nccc3O)c4ccnc(n4)N)N  3BHV_VAR
CC1=C(SC(=O)N1C)c2ccnc(n2)N=C3CC=C(C=C3)N4CCNCC4  2XNB_Y8L
CC(=CCNc1c2c([nH]cn2)ncn1)C  2EXM_ZIP
