,2R9S_255,2OK1_33A,3RTP_34I,4W4V_3H8,4W4W_3HJ,4W4Y_3HQ,4X21_3WH,4Y46_4F2,4Y5H_519,1PMV_537,3OY1_589,2O2U_738,4Z9L_880,3PTG_932,1PMN_984,2B1P_AIZ,6EKD_B9K,6EMH_BGE,2O0U_C0M,3KVX_FMY,2P33_J07,3G9L_J67,3G90_J72,3TTJ_JBI,3FI2_JK1,3FI3_JK2,3TTI_KBI,2WAJ_SNB,3OXI_SYY
3OY1_589,0.851063829787234,0.8829787234042553,0.875,0.8383838383838383,0.8279569892473118,0.8421052631578947,0.8,0.7586206896551724,0.7816091954022988,0.8831168831168831,0.0,0.8901098901098901,0.7731958762886598,0.86,0.7765957446808511,0.8878504672897196,0.7142857142857143,0.7125,0.8446601941747574,0.8144329896907216,0.8125,0.875,0.8854166666666666,0.7912087912087912,0.8775510204081632,0.8773584905660378,0.7444444444444445,0.9010989010989011,0.9204545454545454
2O2U_738,0.9058823529411765,0.8461538461538461,0.7710843373493976,0.8636363636363636,0.8536585365853658,0.8690476190476191,0.8876404494382022,0.8795180722891567,0.8765432098765432,0.873015873015873,0.8901098901098901,0.0,0.9387755102040817,0.8214285714285714,0.9473684210526316,0.8695652173913043,0.9186046511627907,0.9135802469135803,0.5352112676056338,0.9361702127659575,0.8876404494382022,0.8913043478260869,0.8780487804878049,0.8414634146341463,0.8554216867469879,0.7906976744186046,0.8863636363636364,0.9240506329113924,0.8235294117647058
4Z9L_880,0.8673469387755102,0.8631578947368421,0.9090909090909091,0.8653846153846154,0.8910891089108911,0.8811881188118812,0.7684210526315789,0.7802197802197802,0.7613636363636364,0.9012345679012346,0.7731958762886598,0.9387755102040817,0.0,0.8962264150943396,0.21212121212121215,0.8490566037735849,0.8315789473684211,0.8351648351648352,0.9009009009009009,0.854368932038835,0.7282608695652174,0.9285714285714286,0.9215686274509804,0.8350515463917526,0.9238095238095239,0.9203539823008849,0.8041237113402062,0.8681318681318682,0.9230769230769231
3PTG_932,0.8842105263157894,0.8681318681318682,0.23076923076923073,0.846938775510204,0.8369565217391304,0.851063829787234,0.8210526315789474,0.8602150537634409,0.8571428571428572,0.8648648648648649,0.86,0.8214285714285714,0.8962264150943396,0.0,0.892156862745098,0.83,0.8602150537634409,0.8651685393258427,0.8415841584158416,0.9134615384615384,0.8333333333333334,0.8144329896907216,0.8333333333333334,0.875,0.8631578947368421,0.8640776699029127,0.9223300970873787,0.898876404494382,0.8076923076923077
1PMN_984,0.8494623655913979,0.8695652173913043,0.9056603773584906,0.86,0.8865979381443299,0.8762886597938144,0.7444444444444445,0.7840909090909091,0.75,0.9102564102564102,0.7765957446808511,0.9473684210526316,0.21212121212121215,0.892156862745098,0.0,0.8431372549019608,0.8241758241758241,0.8275862068965517,0.9074074074074074,0.86,0.7011494252873562,0.9158878504672897,0.9072164948453608,0.8526315789473684,0.9207920792079208,0.9174311926605505,0.782608695652174,0.8488372093023255,0.9195402298850575
2B1P_AIZ,0.8315789473684211,0.7586206896551724,0.8349514563106796,0.7578947368421053,0.8210526315789474,0.8350515463917526,0.8061224489795918,0.8787878787878788,0.8645833333333334,0.7972972972972973,0.8878504672897196,0.8695652173913043,0.8490566037735849,0.83,0.8431372549019608,0.0,0.8556701030927836,0.8478260869565217,0.8380952380952381,0.897196261682243,0.7684210526315789,0.8785046728971962,0.9108910891089109,0.87,0.7849462365591398,0.7551020408163265,0.9056603773584906,0.8295454545454546,0.8333333333333334
6EKD_B9K,0.8505747126436781,0.9101123595505618,0.8877551020408163,0.8369565217391304,0.8255813953488372,0.813953488372093,0.8723404255319149,0.8888888888888888,0.8735632183908046,0.9315068493150684,0.7142857142857143,0.9186046511627907,0.8315789473684211,0.8602150537634409,0.8241758241758241,0.8556701030927836,0.0,0.3035714285714286,0.9117647058823529,0.6951219512195121,0.8602150537634409,0.898989898989899,0.8876404494382022,0.8,0.8791208791208791,0.8315789473684211,0.8068181818181819,0.9047619047619048,0.9125
6EMH_BGE,0.8414634146341463,0.891566265060241,0.8936170212765957,0.8275862068965517,0.8148148148148149,0.8024691358024691,0.8651685393258427,0.8953488372093024,0.8795180722891567,0.9264705882352942,0.7125,0.9135802469135803,0.8351648351648352,0.8651685393258427,0.8275862068965517,0.8478260869565217,0.3035714285714286,0.0,0.9183673469387755,0.6923076923076923,0.8651685393258427,0.9052631578947369,0.8941176470588236,0.8024691358024691,0.872093023255814,0.8602150537634409,0.7951807228915663,0.8987341772151899,0.9066666666666666
2O0U_C0M,0.900990099009901,0.8260869565217391,0.7878787878787878,0.8431372549019608,0.845360824742268,0.8585858585858586,0.83,0.8787878787878788,0.8762886597938144,0.8734177215189873,0.8446601941747574,0.5352112676056338,0.9009009009009009,0.8415841584158416,0.9074074074074074,0.8380952380952381,0.9117647058823529,0.9183673469387755,0.0,0.9174311926605505,0.83,0.8785046728971962,0.8888888888888888,0.892156862745098,0.8350515463917526,0.8155339805825242,0.9259259259259259,0.9270833333333334,0.8604651162790697
3KVX_FMY,0.9299999999999999,0.8936170212765957,0.9158878504672897,0.9038461538461539,0.8979591836734694,0.898989898989899,0.8811881188118812,0.9191919191919192,0.8947368421052632,0.8961038961038961,0.8144329896907216,0.9361702127659575,0.854368932038835,0.9134615384615384,0.86,0.897196261682243,0.6951219512195121,0.6923076923076923,0.9174311926605505,0.0,0.8811881188118812,0.8627450980392157,0.8478260869565217,0.8762886597938144,0.91,0.8867924528301887,0.7956989247311828,0.9239130434782609,0.9438202247191011
