,4HIQ_16V,4HJS_18J,3D2T_1FL,3CFN_2AN,4HIS_3MI,5BOJ_4TX,4DES_57D,3CFT_5NS,5IHH_6B5,5L4F_6J1,5L4I_6J3,5L4J_6JD,5EN3_7LU,1TYR_9CR,4DER_AGI,6GRP_F4Z,6GR7_F52,1BM7_FLF,4ABU_FT1,4ABV_FT2,4N87_GBJ,3KGU_GEN,3FC8_IFA,3FCB_IFB,3IPB_JZD,3IPE_JZE,4DET_KMP,5AYT_L6Y,4DEW_LU2,4Y9E_MKT,4DEU_NAR,1DVZ_OFL,1U21_P2C,1E4H_PBR,2G5U_PCQ,5L4M_SBK,1E5A_TBP,4D7B_TCW
5L4I_6J3,0.8208955223880597,0.8709677419354839,0.8275862068965517,0.7857142857142857,0.8,0.8360655737704918,0.8688524590163934,0.8703703703703703,0.9117647058823529,0.8846153846153846,0.0,0.8723404255319149,0.890625,0.8985507246376812,0.9032258064516129,0.8541666666666666,0.78,0.6851851851851851,0.8688524590163934,0.8852459016393442,0.8767123287671232,0.9047619047619048,0.88,0.875,0.6363636363636364,0.6363636363636364,0.9047619047619048,0.8333333333333334,0.90625,0.9264705882352942,0.890625,0.6799999999999999,0.6481481481481481,0.9555555555555556,0.8666666666666667,0.7924528301886793,0.9375,0.8709677419354839
5L4J_6JD,0.9056603773584906,0.8048780487804879,0.825,0.825,0.8913043478260869,0.8888888888888888,0.8292682926829268,0.7878787878787878,0.8478260869565217,0.8064516129032258,0.8723404255319149,0.0,0.8636363636363636,0.9423076923076923,0.7631578947368421,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8571428571428572,0.8809523809523809,0.8490566037735849,0.7692307692307692,0.875,0.8679245283018868,0.8979591836734694,0.8979591836734694,0.7692307692307692,0.8863636363636364,0.8333333333333334,0.8936170212765957,0.7804878048780488,0.875,0.8936170212765957,0.8695652173913043,0.8461538461538461,0.8974358974358975,0.8461538461538461,0.8333333333333334
5EN3_7LU,0.8823529411764706,0.8833333333333333,0.7962962962962963,0.8793103448275862,0.7454545454545455,0.8852459016393442,0.4651162790697675,0.8846153846153846,0.30952380952380953,0.8541666666666666,0.890625,0.8636363636363636,0.0,0.9420289855072463,0.41463414634146345,0.8444444444444444,0.8627450980392157,0.9032258064516129,0.8,0.8181818181818181,0.8382352941176471,0.7058823529411764,0.8904109589041096,0.8857142857142857,0.875,0.875,0.653061224489796,0.8833333333333333,0.23684210526315785,0.7719298245614035,0.7857142857142857,0.9137931034482758,0.8709677419354839,0.926829268292683,0.8,0.8703703703703703,0.8837209302325582,0.8448275862068966
1TYR_9CR,0.9054054054054054,0.8923076923076922,0.9230769230769231,0.9230769230769231,0.927536231884058,0.8769230769230769,0.9402985074626866,0.95,0.9295774647887324,0.9090909090909091,0.8985507246376812,0.9423076923076923,0.9420289855072463,0.0,0.9552238805970149,0.9636363636363636,0.9137931034482758,0.9264705882352942,0.9402985074626866,0.9705882352941176,0.9090909090909091,0.9402985074626866,0.9382716049382716,0.9358974358974359,0.9305555555555556,0.9305555555555556,0.9558823529411765,0.9253731343283582,0.9411764705882353,0.9130434782608696,0.9420289855072463,0.9032258064516129,0.9285714285714286,0.9574468085106383,0.9607843137254902,0.9,0.9607843137254902,0.9090909090909091
4DER_AGI,0.8939393939393939,0.8771929824561404,0.7843137254901961,0.8727272727272728,0.8214285714285714,0.8983050847457628,0.19999999999999996,0.8775510204081632,0.41860465116279066,0.8695652173913043,0.9032258064516129,0.7631578947368421,0.41463414634146345,0.9552238805970149,0.0,0.8863636363636364,0.9,0.8983050847457628,0.8545454545454545,0.8727272727272728,0.7936507936507937,0.5,0.8695652173913043,0.8636363636363636,0.9047619047619048,0.9047619047619048,0.42500000000000004,0.8771929824561404,0.2222222222222222,0.7592592592592593,0.6734693877551021,0.9090909090909091,0.9016393442622951,0.9210526315789473,0.8461538461538461,0.9056603773584906,0.875,0.8363636363636364
6GRP_F4Z,0.9090909090909091,0.8913043478260869,0.8863636363636364,0.9111111111111111,0.8222222222222222,0.9166666666666666,0.8888888888888888,0.8947368421052632,0.9,0.8181818181818181,0.8541666666666666,0.8666666666666667,0.8444444444444444,0.9636363636363636,0.8863636363636364,0.0,0.7647058823529411,0.9166666666666666,0.8095238095238095,0.8048780487804879,0.875,0.8888888888888888,0.8983050847457628,0.8928571428571429,0.8571428571428572,0.8571428571428572,0.8888888888888888,0.9375,0.8913043478260869,0.8979591836734694,0.8936170212765957,0.9318181818181819,0.851063829787234,0.88,0.6666666666666667,0.59375,0.8148148148148149,0.8913043478260869
6GR7_F52,0.7777777777777778,0.8823529411764706,0.8541666666666666,0.9,0.8200000000000001,0.7391304347826086,0.88,0.8837209302325582,0.8909090909090909,0.875,0.78,0.8888888888888888,0.8627450980392157,0.9137931034482758,0.9,0.7647058823529411,0.0,0.84,0.7555555555555555,0.75,0.921875,0.9019607843137255,0.873015873015873,0.847457627118644,0.7083333333333333,0.7083333333333333,0.9019607843137255,0.86,0.9038461538461539,0.8888888888888888,0.9056603773584906,0.8478260869565217,0.75,0.9032258064516129,0.7741935483870968,0.4545454545454546,0.8823529411764706,0.8823529411764706
1BM7_FLF,0.8307692307692307,0.864406779661017,0.7735849056603774,0.6734693877551021,0.8103448275862069,0.847457627118644,0.8421052631578947,0.8627450980392157,0.9076923076923077,0.9,0.6851851851851851,0.8888888888888888,0.9032258064516129,0.9264705882352942,0.8983050847457628,0.9166666666666666,0.84,0.0,0.8813559322033898,0.8983050847457628,0.9178082191780822,0.9,0.8591549295774648,0.835820895522388,0.56,0.56,0.9,0.8035714285714286,0.9016393442622951,0.9230769230769231,0.9032258064516129,0.42500000000000004,0.5416666666666667,0.9523809523809523,0.9090909090909091,0.8703703703703703,0.9090909090909091,0.8833333333333333
4ABU_FT1,0.84375,0.8181818181818181,0.8333333333333334,0.8947368421052632,0.8448275862068966,0.8421052631578947,0.8571428571428572,0.9019607843137255,0.85,0.8723404255319149,0.8688524590163934,0.8571428571428572,0.8,0.9402985074626866,0.8545454545454545,0.8095238095238095,0.7555555555555555,0.8813559322033898,0.0,0.42500000000000004,0.8676470588235294,0.8571428571428572,0.8714285714285714,0.8823529411764706,0.8135593220338984,0.8135593220338984,0.8363636363636364,0.9166666666666666,0.8596491228070176,0.847457627118644,0.8620689655172413,0.8909090909090909,0.8070175438596492,0.9230769230769231,0.7894736842105263,0.8200000000000001,0.8780487804878049,0.8392857142857143
4ABV_FT2,0.8412698412698413,0.8771929824561404,0.8518518518518519,0.9122807017543859,0.8620689655172413,0.8392857142857143,0.875,0.9215686274509804,0.8666666666666667,0.8936170212765957,0.8852459016393442,0.8809523809523809,0.8181818181818181,0.9705882352941176,0.8727272727272728,0.8048780487804879,0.75,0.8983050847457628,0.42500000000000004,0.0,0.8823529411764706,0.875,0.8695652173913043,0.8805970149253731,0.8103448275862069,0.8103448275862069,0.875,0.9333333333333333,0.8771929824561404,0.864406779661017,0.8793103448275862,0.9090909090909091,0.8245614035087719,0.9210526315789473,0.7837837837837838,0.8163265306122449,0.875,0.8571428571428572
